_id,db_id,date,commodity,unit,source_name,source_url,price,minPrice,maxPrice,percentageChange,last_sync
1,2400251,2021-02-04,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,117.11,,,0.51,2021-02-06T04:07:52
2,2397743,2021-02-03,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.52,,,0.42,2021-02-05T05:15:18
3,2395168,2021-02-02,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.03,,,-1.15,2021-02-04T03:49:30
4,2393544,2021-02-01,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,117.38,,,1.79,2021-02-03T05:16:03
5,2392446,2021-01-29,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,115.32,,,-0.49,2021-02-02T03:39:53
6,2389336,2021-01-28,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,115.89,,,-0.88,2021-01-30T04:16:05
7,2386854,2021-01-27,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.92,,,0.36,2021-01-29T06:20:59
8,2383413,2021-01-26,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.50,,,0.86,2021-01-28T05:41:06
9,2383412,2021-01-25,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,115.51,,,0.60,2021-01-28T05:41:06
10,2380321,2021-01-22,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,114.82,,,-1.40,2021-01-26T05:34:55
11,2377951,2021-01-21,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.45,,,0.39,2021-01-23T04:06:41
12,2374834,2021-01-20,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.00,,,-1.13,2021-01-22T06:07:31
13,2372373,2021-01-19,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,117.33,,,-0.32,2021-01-21T05:56:47
14,2368793,2021-01-18,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,117.71,,,-0.41,2021-01-20T06:02:53
15,2368792,2021-01-15,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,118.19,,,1.03,2021-01-20T06:02:53
16,2354667,2021-01-14,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.98,,,0.96,2021-01-16T03:57:20
17,2352992,2021-01-13,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,115.87,,,2.53,2021-01-15T04:22:10
18,2352991,2021-01-12,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,113.01,,,-0.07,2021-01-15T04:22:10
19,2352990,2021-01-11,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,113.09,,,-1.16,2021-01-15T04:22:10
20,2224127,2021-01-08,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,114.42,,,0.86,2021-01-12T02:34:55
21,2224126,2021-01-07,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,113.45,,,-0.11,2021-01-12T02:34:54
22,2224125,2021-01-06,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,113.57,,,-2.25,2021-01-12T02:34:54
23,2204070,2021-01-05,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,116.19,,,-0.95,2021-01-07T02:57:49
24,2204069,2021-01-04,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,117.31,,,-1.59,2021-01-07T02:57:49
25,2204068,2020-12-31,"Coffee, composite",USD/pound,International Cofee Organization,http://www.ico.org/coffee_prices.asp?section=Statistics,119.21,,,2.10,2021-01-07T02:57:49
