File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2010001_aid0001,ET_500m,aid0001,2010-01-01,908.0,978.1,1618.9,"(978.1,1618.9)",1229.7560573,115.5041998,13341.2201726,1297.4,1525.8,1218.1,978.1,1144.275
MOD16A3GF_006_ET_500m_doy2011001_aid0001,ET_500m,aid0001,2011-01-01,908.0,886.3,1563.8,"(886.3,1563.8)",1125.5066079,116.6173017,13599.5950444,1189.725,1415.0,1106.85,886.3,1038.9
MOD16A3GF_006_ET_500m_doy2012001_aid0001,ET_500m,aid0001,2012-01-01,908.0,974.2,1704.7,"(974.2,1704.7)",1260.8156388,114.3628015,13078.8503722,1331.6,1559.5,1247.4,974.2,1176.325
MOD16A3GF_006_ET_500m_doy2013001_aid0001,ET_500m,aid0001,2013-01-01,908.0,991.5,1665.9,"(991.5,1665.9)",1182.5690529,98.5903773,9720.0624894,1243.025,1433.9,1166.3,991.5,1112.25
MOD16A3GF_006_ET_500m_doy2014001_aid0001,ET_500m,aid0001,2014-01-01,908.0,989.2,1689.3,"(989.2,1689.3)",1266.1270925,138.935108,19302.964244,1374.425,1689.3,1242.95,989.2,1155.225
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,908.0,895.2,1741.7,"(895.2,1741.7)",1231.4971366,139.0022943,19321.6378112,1318.65,1598.6,1211.2,895.2,1128.65
MOD16A3GF_006_ET_500m_doy2010001_aid0002,ET_500m,aid0002,2010-01-01,2519.0,707.0,1826.9,"(707.0,1826.9)",1185.2178245,131.0398801,17171.4501666,1248.2,1463.0,1167.3,891.4,1104.55
MOD16A3GF_006_ET_500m_doy2011001_aid0002,ET_500m,aid0002,2011-01-01,2519.0,687.3,1728.0,"(687.3,1728.0)",1111.9332672,125.3525236,15713.2551617,1179.15,1402.4,1095.8,813.4,1030.1
MOD16A3GF_006_ET_500m_doy2012001_aid0002,ET_500m,aid0002,2012-01-01,2519.0,716.4,1822.4,"(716.4,1822.4)",1188.6213974,126.547367,16014.2360924,1249.25,1453.4,1173.6,908.8,1112.55
MOD16A3GF_006_ET_500m_doy2013001_aid0002,ET_500m,aid0002,2013-01-01,2519.0,716.2,1746.6,"(716.2,1746.6)",1174.1776499,111.2112008,12367.9311837,1232.75,1418.6,1163.5,922.6,1108.6
MOD16A3GF_006_ET_500m_doy2014001_aid0002,ET_500m,aid0002,2014-01-01,2519.0,680.0,1826.6,"(680.0,1826.6)",1169.2069869,147.2410366,21679.9228571,1241.4,1484.6,1151.5,837.2,1079.15
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,2519.0,642.8,1756.8,"(642.8,1756.8)",1128.6572449,147.3676933,21717.2370247,1207.25,1453.3,1117.3,794.4,1041.65
MOD16A3GF_006_ET_500m_doy2010001_aid0003,ET_500m,aid0003,2010-01-01,2591.0,834.6,1879.4,"(834.6,1879.4)",1240.4592821,136.7366296,18696.905872,1317.7,1557.3,1224.6,923.7,1157.7
MOD16A3GF_006_ET_500m_doy2011001_aid0003,ET_500m,aid0003,2011-01-01,2591.0,715.7,1738.5,"(715.7,1738.5)",1136.6105365,132.8735092,17655.369449,1212.65,1447.0,1127.7,823.3,1055.95
MOD16A3GF_006_ET_500m_doy2012001_aid0003,ET_500m,aid0003,2012-01-01,2591.0,779.6,1990.0,"(779.6,1990.0)",1228.9769973,142.9996443,20448.8982744,1307.5,1548.5,1219.8,904.4,1146.0
MOD16A3GF_006_ET_500m_doy2013001_aid0003,ET_500m,aid0003,2013-01-01,2591.0,776.0,1817.5,"(776.0,1817.5)",1195.9007719,129.7738599,16841.2547042,1270.3,1494.9,1185.5,893.4,1119.15
MOD16A3GF_006_ET_500m_doy2014001_aid0003,ET_500m,aid0003,2014-01-01,2591.0,774.2,1911.5,"(774.2,1911.5)",1240.8965264,152.9264677,23386.5045267,1330.3,1608.2,1221.6,865.7,1142.7
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,2591.0,658.9,1960.3,"(658.9,1960.3)",1151.6414512,173.4370452,30080.4086562,1253.05,1567.2,1135.3,731.7,1043.45
MOD16A3GF_006_ET_500m_doy2010001_aid0004,ET_500m,aid0004,2010-01-01,966.0,965.3,1819.8,"(965.3,1819.8)",1297.8489648,126.5617944,16017.8877991,1377.175,1632.2,1274.0,965.3,1202.7
MOD16A3GF_006_ET_500m_doy2011001_aid0004,ET_500m,aid0004,2011-01-01,966.0,965.6,1667.1,"(965.6,1667.1)",1217.4983437,114.1388683,13027.6812602,1280.15,1496.0,1199.9,965.6,1133.0
MOD16A3GF_006_ET_500m_doy2012001_aid0004,ET_500m,aid0004,2012-01-01,966.0,972.0,1802.5,"(972.0,1802.5)",1290.260559,123.3833574,15223.4528854,1362.575,1603.5,1271.3,972.0,1198.7
MOD16A3GF_006_ET_500m_doy2013001_aid0004,ET_500m,aid0004,2013-01-01,966.0,992.4,1761.9,"(992.4,1761.9)",1234.0428571,102.8946015,10587.2990121,1293.3,1491.9,1216.7,992.4,1159.175
MOD16A3GF_006_ET_500m_doy2014001_aid0004,ET_500m,aid0004,2014-01-01,966.0,914.1,1825.4,"(914.1,1825.4)",1331.5015528,152.76051,23335.7734034,1434.7,1767.3,1311.8,914.1,1208.525
MOD16A3GF_006_ET_500m_doy2015001_aid0004,ET_500m,aid0004,2015-01-01,966.0,872.6,1817.0,"(872.6,1817.0)",1261.539441,153.5454164,23576.1948937,1358.175,1676.3,1234.2,872.6,1141.975
MOD16A3GF_006_ET_500m_doy2010001_aid0005,ET_500m,aid0005,2010-01-01,1813.0,855.4,1954.0,"(855.4,1954.0)",1267.0938224,142.7228754,20369.8191565,1350.2,1593.7,1252.7,939.5,1185.8
MOD16A3GF_006_ET_500m_doy2011001_aid0005,ET_500m,aid0005,2011-01-01,1813.0,775.8,1897.1,"(775.8,1897.1)",1188.1542195,144.8592921,20984.2145065,1263.0,1491.6,1180.3,877.9,1108.7
MOD16A3GF_006_ET_500m_doy2012001_aid0005,ET_500m,aid0005,2012-01-01,1813.0,792.5,1987.1,"(792.5,1987.1)",1257.4423607,152.067857,23124.6331201,1338.3,1577.6,1251.7,932.8,1175.8
MOD16A3GF_006_ET_500m_doy2013001_aid0005,ET_500m,aid0005,2013-01-01,1813.0,834.5,1859.8,"(834.5,1859.8)",1222.9847766,123.9963616,15375.0976943,1294.9,1501.0,1216.0,950.4,1155.1
MOD16A3GF_006_ET_500m_doy2014001_aid0005,ET_500m,aid0005,2014-01-01,1813.0,852.7,2031.3,"(852.7,2031.3)",1293.6364038,169.1835997,28623.0904233,1392.0,1696.7,1270.9,882.8,1188.0
MOD16A3GF_006_ET_500m_doy2015001_aid0005,ET_500m,aid0005,2015-01-01,1813.0,672.9,2067.2,"(672.9,2067.2)",1212.7830667,184.6102542,34080.9459626,1308.5,1602.4,1200.6,814.1,1109.3
MOD16A3GF_006_ET_500m_doy2010001_aid0006,ET_500m,aid0006,2010-01-01,1503.0,752.9,1804.0,"(752.9,1804.0)",1166.1968064,159.4334815,25419.0350131,1259.05,1567.2,1143.2,752.9,1053.55
MOD16A3GF_006_ET_500m_doy2011001_aid0006,ET_500m,aid0006,2011-01-01,1503.0,745.3,1905.8,"(745.3,1905.8)",1100.7169661,147.6174102,21790.8997986,1178.7,1444.9,1073.2,745.3,1000.9
MOD16A3GF_006_ET_500m_doy2012001_aid0006,ET_500m,aid0006,2012-01-01,1503.0,763.3,1817.5,"(763.3,1817.5)",1162.1499667,144.9924406,21022.8078227,1230.05,1470.3,1136.6,842.4,1067.25
MOD16A3GF_006_ET_500m_doy2013001_aid0006,ET_500m,aid0006,2013-01-01,1503.0,739.2,1846.0,"(739.2,1846.0)",1167.1401863,139.4245659,19439.209576,1238.55,1478.5,1144.6,838.9,1077.75
MOD16A3GF_006_ET_500m_doy2014001_aid0006,ET_500m,aid0006,2014-01-01,1503.0,684.2,1967.4,"(684.2,1967.4)",1169.0622089,177.1030011,31365.472983,1269.2,1598.0,1135.1,748.2,1049.2
MOD16A3GF_006_ET_500m_doy2015001_aid0006,ET_500m,aid0006,2015-01-01,1503.0,652.3,1762.2,"(652.3,1762.2)",1110.7365269,156.1609932,24386.2557982,1178.55,1430.3,1085.8,758.6,1010.4
MOD16A3GF_006_ET_500m_doy2010001_aid0007,ET_500m,aid0007,2010-01-01,1068.0,990.0,1872.3,"(990.0,1872.3)",1200.3649813,96.7084908,9352.5322007,1241.35,1389.8,1186.75,990.0,1138.05
MOD16A3GF_006_ET_500m_doy2011001_aid0007,ET_500m,aid0007,2011-01-01,1068.0,816.3,1658.9,"(816.3,1658.9)",1102.7364232,90.3204229,8157.7787951,1148.45,1300.8,1094.65,890.9,1042.9
MOD16A3GF_006_ET_500m_doy2012001_aid0007,ET_500m,aid0007,2012-01-01,1068.0,933.7,1925.8,"(933.7,1925.8)",1199.2639513,106.0424111,11244.9929421,1250.65,1422.3,1187.1,973.0,1134.7
MOD16A3GF_006_ET_500m_doy2013001_aid0007,ET_500m,aid0007,2013-01-01,1068.0,933.1,1674.8,"(933.1,1674.8)",1163.6600187,91.2637316,8329.0687105,1206.2,1353.6,1153.95,963.1,1107.8
