File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,908.0,895.2,1741.7,"(895.2,1741.7)",1231.4971366,139.0022943,19321.6378112,1318.65,1598.6,1211.2,895.2,1128.65
MOD16A3GF_006_ET_500m_doy2016001_aid0001,ET_500m,aid0001,2016-01-01,908.0,1029.4,1711.5,"(1029.4,1711.5)",1258.1993392,116.1646804,13494.2329731,1332.65,1561.1,1241.45,1029.4,1170.925
MOD16A3GF_006_ET_500m_doy2017001_aid0001,ET_500m,aid0001,2017-01-01,908.0,970.9,1686.2,"(970.9,1686.2)",1211.5683921,122.0498109,14896.1563468,1285.6,1534.4,1198.9,970.9,1119.3
MOD16A3GF_006_ET_500m_doy2018001_aid0001,ET_500m,aid0001,2018-01-01,908.0,1028.7,1667.6,"(1028.7,1667.6)",1247.6365639,98.9831878,9797.6714604,1309.35,1509.3,1233.25,1028.7,1175.925
MOD16A3GF_006_ET_500m_doy2019001_aid0001,ET_500m,aid0001,2019-01-01,908.0,998.6,1720.8,"(998.6,1720.8)",1268.0179515,129.6075094,16798.1064949,1358.0,1634.1,1249.2,998.6,1166.2
MOD16A3GF_006_ET_500m_doy2020001_aid0001,ET_500m,aid0001,2020-01-01,908.0,1016.5,1743.9,"(1016.5,1743.9)",1287.5622247,105.7640638,11186.0371964,1348.875,1548.0,1272.6,1016.5,1213.5
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,2519.0,642.8,1756.8,"(642.8,1756.8)",1128.6572449,147.3676933,21717.2370247,1207.25,1453.3,1117.3,794.4,1041.65
MOD16A3GF_006_ET_500m_doy2016001_aid0002,ET_500m,aid0002,2016-01-01,2519.0,712.2,1981.9,"(712.2,1981.9)",1186.4161175,125.9971027,15875.2698871,1252.4,1454.3,1176.8,914.5,1117.15
MOD16A3GF_006_ET_500m_doy2017001_aid0002,ET_500m,aid0002,2017-01-01,2519.0,711.3,1765.6,"(711.3,1765.6)",1153.4554188,133.6693914,17867.5061943,1216.8,1429.3,1137.1,863.3,1075.05
MOD16A3GF_006_ET_500m_doy2018001_aid0002,ET_500m,aid0002,2018-01-01,2519.0,782.3,1808.4,"(782.3,1808.4)",1239.5476776,111.3175531,12391.5976197,1297.45,1480.4,1230.0,993.7,1175.25
MOD16A3GF_006_ET_500m_doy2019001_aid0002,ET_500m,aid0002,2019-01-01,2519.0,716.2,1803.4,"(716.2,1803.4)",1203.8776102,138.3104849,19129.7902331,1265.55,1483.4,1181.5,899.7,1118.95
MOD16A3GF_006_ET_500m_doy2020001_aid0002,ET_500m,aid0002,2020-01-01,2519.0,834.5,1948.7,"(834.5,1948.7)",1314.3427948,126.6353947,16036.5231865,1373.55,1579.8,1295.3,1040.0,1235.75
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,2591.0,658.9,1960.3,"(658.9,1960.3)",1151.6414512,173.4370452,30080.4086562,1253.05,1567.2,1135.3,731.7,1043.45
MOD16A3GF_006_ET_500m_doy2016001_aid0003,ET_500m,aid0003,2016-01-01,2591.0,775.7,1890.5,"(775.7,1890.5)",1222.0379776,153.3004918,23501.0407962,1309.05,1582.8,1205.4,852.4,1125.9
MOD16A3GF_006_ET_500m_doy2017001_aid0003,ET_500m,aid0003,2017-01-01,2591.0,739.9,1873.1,"(739.9,1873.1)",1173.8420301,159.4039149,25409.6080945,1255.0,1529.8,1153.5,792.5,1069.55
MOD16A3GF_006_ET_500m_doy2018001_aid0003,ET_500m,aid0003,2018-01-01,2591.0,784.1,1989.9,"(784.1,1989.9)",1282.0403705,143.5379175,20603.1337542,1347.95,1562.2,1270.9,991.1,1204.9
MOD16A3GF_006_ET_500m_doy2019001_aid0003,ET_500m,aid0003,2019-01-01,2591.0,799.9,1821.7,"(799.9,1821.7)",1235.1102277,147.6297962,21794.5567113,1314.65,1575.8,1212.6,880.5,1139.5
MOD16A3GF_006_ET_500m_doy2020001_aid0003,ET_500m,aid0003,2020-01-01,2591.0,827.6,1905.0,"(827.6,1905.0)",1301.1473948,141.9753041,20156.9869625,1364.45,1570.7,1289.9,1021.6,1226.75
MOD16A3GF_006_ET_500m_doy2015001_aid0004,ET_500m,aid0004,2015-01-01,966.0,872.6,1817.0,"(872.6,1817.0)",1261.539441,153.5454164,23576.1948937,1358.175,1676.3,1234.2,872.6,1141.975
MOD16A3GF_006_ET_500m_doy2016001_aid0004,ET_500m,aid0004,2016-01-01,966.0,975.8,1890.3,"(975.8,1890.3)",1289.1338509,122.0864553,14905.1025705,1362.5,1595.9,1270.3,975.8,1200.325
MOD16A3GF_006_ET_500m_doy2017001_aid0004,ET_500m,aid0004,2017-01-01,966.0,902.5,1869.3,"(902.5,1869.3)",1252.8275362,131.4752204,17285.7335689,1326.2,1577.6,1228.65,902.5,1155.9
MOD16A3GF_006_ET_500m_doy2018001_aid0004,ET_500m,aid0004,2018-01-01,966.0,1043.4,1960.0,"(1043.4,1960.0)",1292.1140787,101.7994419,10363.1263649,1350.5,1535.1,1278.8,1043.4,1222.8
MOD16A3GF_006_ET_500m_doy2019001_aid0004,ET_500m,aid0004,2019-01-01,966.0,987.6,1871.3,"(987.6,1871.3)",1293.9828157,125.3084322,15702.203183,1361.325,1565.8,1277.5,987.6,1202.9
MOD16A3GF_006_ET_500m_doy2020001_aid0004,ET_500m,aid0004,2020-01-01,966.0,1064.9,1798.4,"(1064.9,1798.4)",1312.665735,103.1217486,10634.0950267,1369.375,1559.0,1301.45,1064.9,1242.625
MOD16A3GF_006_ET_500m_doy2015001_aid0005,ET_500m,aid0005,2015-01-01,1813.0,672.9,2067.2,"(672.9,2067.2)",1212.7830667,184.6102542,34080.9459626,1308.5,1602.4,1200.6,814.1,1109.3
MOD16A3GF_006_ET_500m_doy2016001_aid0005,ET_500m,aid0005,2016-01-01,1813.0,788.4,1946.3,"(788.4,1946.3)",1254.9150579,149.5603514,22368.2987198,1333.1,1576.9,1243.8,927.0,1169.9
MOD16A3GF_006_ET_500m_doy2017001_aid0005,ET_500m,aid0005,2017-01-01,1813.0,774.4,1951.6,"(774.4,1951.6)",1216.371594,159.0164546,25286.2328445,1295.6,1553.1,1195.4,868.2,1123.8
MOD16A3GF_006_ET_500m_doy2018001_aid0005,ET_500m,aid0005,2018-01-01,1813.0,842.0,1918.7,"(842.0,1918.7)",1262.7692774,130.7791676,17103.1906888,1328.3,1519.0,1258.1,1007.3,1199.9
MOD16A3GF_006_ET_500m_doy2019001_aid0005,ET_500m,aid0005,2019-01-01,1813.0,828.7,1893.1,"(828.7,1893.1)",1261.323166,146.9435721,21592.413396,1344.4,1603.7,1245.1,908.1,1169.4
MOD16A3GF_006_ET_500m_doy2020001_aid0005,ET_500m,aid0005,2020-01-01,1813.0,823.7,1951.5,"(823.7,1951.5)",1276.7570877,136.9151775,18745.7658254,1348.0,1550.5,1277.0,1010.8,1213.0
MOD16A3GF_006_ET_500m_doy2015001_aid0006,ET_500m,aid0006,2015-01-01,1503.0,652.3,1762.2,"(652.3,1762.2)",1110.7365269,156.1609932,24386.2557982,1178.55,1430.3,1085.8,758.6,1010.4
MOD16A3GF_006_ET_500m_doy2016001_aid0006,ET_500m,aid0006,2016-01-01,1503.0,728.1,1837.0,"(728.1,1837.0)",1131.1206254,134.7968509,18170.1910184,1198.9,1429.4,1109.1,815.4,1045.0
