File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2003001_aid0001,ET_500m,aid0001,2003-01-01,908.0,918.2,1580.0,"(918.2,1580.0)",1171.3317181,107.7294574,11605.6359984,1238.1,1453.4,1151.65,918.2,1091.15
MOD16A3GF_006_ET_500m_doy2004001_aid0001,ET_500m,aid0001,2004-01-01,908.0,957.6,1557.2,"(957.6,1557.2)",1149.1904185,86.7227307,7520.8320117,1189.45,1335.9,1134.0,957.6,1091.225
MOD16A3GF_006_ET_500m_doy2005001_aid0001,ET_500m,aid0001,2005-01-01,908.0,965.0,1639.5,"(965.0,1639.5)",1224.2428414,100.8146857,10163.6008629,1286.05,1482.3,1210.3,965.0,1154.425
MOD16A3GF_006_ET_500m_doy2006001_aid0001,ET_500m,aid0001,2006-01-01,908.0,960.8,1534.4,"(960.8,1534.4)",1143.1557269,92.6411884,8582.38978,1188.7,1353.1,1126.15,960.8,1078.775
MOD16A3GF_006_ET_500m_doy2007001_aid0001,ET_500m,aid0001,2007-01-01,908.0,932.5,1603.8,"(932.5,1603.8)",1160.7131057,129.1794481,16687.3298172,1251.875,1520.5,1131.8,932.5,1057.075
MOD16A3GF_006_ET_500m_doy2008001_aid0001,ET_500m,aid0001,2008-01-01,908.0,1026.6,1624.9,"(1026.6,1624.9)",1237.3014317,104.421617,10903.8741059,1298.55,1505.6,1216.15,1026.6,1159.975
MOD16A3GF_006_ET_500m_doy2003001_aid0002,ET_500m,aid0002,2003-01-01,2519.0,713.3,1725.9,"(713.3,1725.9)",1158.0816594,112.3284474,12617.6800844,1211.05,1395.9,1140.2,907.8,1087.8
MOD16A3GF_006_ET_500m_doy2004001_aid0002,ET_500m,aid0002,2004-01-01,2519.0,786.3,1666.6,"(786.3,1666.6)",1170.0163954,100.1626254,10032.5515335,1218.1,1380.4,1154.1,943.1,1107.75
MOD16A3GF_006_ET_500m_doy2005001_aid0002,ET_500m,aid0002,2005-01-01,2519.0,780.8,1808.5,"(780.8,1808.5)",1256.6123859,112.1036224,12567.222157,1310.65,1498.6,1239.2,1000.3,1184.95
MOD16A3GF_006_ET_500m_doy2006001_aid0002,ET_500m,aid0002,2006-01-01,2519.0,654.3,1764.6,"(654.3,1764.6)",1126.0576419,117.9976803,13923.4525488,1173.55,1351.6,1105.3,876.6,1054.7
