File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,9154,627.1,1607.9,"(627.1,1607.9)",973.5217282,128.7429386,16574.7442286,1046.5,1266.8,973.25,680.6,899.6
MOD16A3GF_006_ET_500m_doy2016001_aid0001,ET_500m,aid0001,2016-01-01,9154,563.6,1659.4,"(563.6,1659.4)",902.0112738,131.688761,17341.9297855,966.775,1181.1,896.5,611.2,823.7
MOD16A3GF_006_ET_500m_doy2017001_aid0001,ET_500m,aid0001,2017-01-01,9154,599.3,1481.0,"(599.3,1481.0)",886.7570243,120.7829627,14588.5240827,951.9,1161.2,881.4,604.5,812.125
MOD16A3GF_006_ET_500m_doy2018001_aid0001,ET_500m,aid0001,2018-01-01,9154,585.8,1620.5,"(585.8,1620.5)",910.603463,130.1111626,16928.9146341,978.375,1193.3,908.0,620.4,834.85
MOD16A3GF_006_ET_500m_doy2019001_aid0001,ET_500m,aid0001,2019-01-01,9154,561.0,1531.5,"(561.0,1531.5)",900.1463622,127.5004523,16256.3653489,965.6,1164.5,897.3,634.1,833.0
MOD16A3GF_006_ET_500m_doy2020001_aid0001,ET_500m,aid0001,2020-01-01,9154,368.0,1429.4,"(368.0,1429.4)",734.4323247,122.3270666,14963.9112219,803.875,1016.7,730.8,448.8,661.825
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,6523,617.9,1609.4,"(617.9,1609.4)",977.9099187,128.749166,16576.3477584,1050.25,1264.7,977.7,692.8,906.95
MOD16A3GF_006_ET_500m_doy2016001_aid0002,ET_500m,aid0002,2016-01-01,6523,581.9,1644.3,"(581.9,1644.3)",921.5532577,136.5664485,18650.3948487,998.15,1244.2,909.3,596.3,834.1
MOD16A3GF_006_ET_500m_doy2017001_aid0002,ET_500m,aid0002,2017-01-01,6523,610.7,1449.7,"(610.7,1449.7)",901.2417753,123.3105881,15205.5011385,967.2,1180.2,891.2,616.3,824.9
MOD16A3GF_006_ET_500m_doy2018001_aid0002,ET_500m,aid0002,2018-01-01,6523,584.7,1663.9,"(584.7,1663.9)",940.0091062,145.4800124,21164.4339934,1005.9,1226.5,925.1,639.7,858.45
MOD16A3GF_006_ET_500m_doy2019001_aid0002,ET_500m,aid0002,2019-01-01,6523,542.4,1599.4,"(542.4,1599.4)",910.8905105,135.2582269,18294.7879323,983.15,1197.1,909.7,622.6,838.85
MOD16A3GF_006_ET_500m_doy2020001_aid0002,ET_500m,aid0002,2020-01-01,6523,450.0,1402.2,"(450.0,1402.2)",796.1255097,121.99834,14883.5949586,865.6,1072.0,794.9,517.5,726.1
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,13993,0.0,1589.9,"(0.0,1589.9)",946.8978561,127.2650185,16196.3849264,1018.7,1233.5,944.1,660.8,875.4
MOD16A3GF_006_ET_500m_doy2016001_aid0003,ET_500m,aid0003,2016-01-01,13993,0.0,1575.1,"(0.0,1575.1)",860.9075895,132.1255261,17457.1546512,933.1,1160.2,853.1,555.1,781.6
MOD16A3GF_006_ET_500m_doy2017001_aid0003,ET_500m,aid0003,2017-01-01,13993,0.0,1520.5,"(0.0,1520.5)",884.4249768,121.0031437,14641.760789,950.5,1154.9,879.3,610.1,814.2
MOD16A3GF_006_ET_500m_doy2018001_aid0003,ET_500m,aid0003,2018-01-01,13993,0.0,1723.5,"(0.0,1723.5)",921.8861002,147.8823557,21869.1911303,999.4,1243.5,911.5,592.6,836.3
MOD16A3GF_006_ET_500m_doy2019001_aid0003,ET_500m,aid0003,2019-01-01,13993,0.0,1624.0,"(0.0,1624.0)",868.3365897,140.5799961,19762.7353109,946.0,1183.4,862.3,550.3,787.6
MOD16A3GF_006_ET_500m_doy2020001_aid0003,ET_500m,aid0003,2020-01-01,13993,0.0,1444.6,"(0.0,1444.6)",790.0864932,129.4112168,16747.263022,865.0,1093.6,786.3,484.0,712.5
MOD16A3GF_006_ET_500m_doy2015001_aid0004,ET_500m,aid0004,2015-01-01,6480,571.7,1686.6,"(571.7,1686.6)",950.3997994,137.6222197,18939.8753472,1035.25,1291.7,955.1,607.0,862.15
MOD16A3GF_006_ET_500m_doy2016001_aid0004,ET_500m,aid0004,2016-01-01,6480,558.7,1567.0,"(558.7,1567.0)",880.2709105,135.1296238,18260.0152387,964.9,1228.8,881.05,558.7,787.6
MOD16A3GF_006_ET_500m_doy2017001_aid0004,ET_500m,aid0004,2017-01-01,6480,572.8,1482.6,"(572.8,1482.6)",878.9899537,128.8500801,16602.3431414,953.3,1188.1,879.75,572.8,796.075
MOD16A3GF_006_ET_500m_doy2018001_aid0004,ET_500m,aid0004,2018-01-01,6480,563.0,1724.5,"(563.0,1724.5)",903.5049228,132.0793223,17444.9473693,976.2,1202.4,906.4,600.6,825.275
MOD16A3GF_006_ET_500m_doy2019001_aid0004,ET_500m,aid0004,2019-01-01,6480,501.8,1602.5,"(501.8,1602.5)",864.5491975,137.0107075,18771.9339685,946.5,1210.2,876.4,511.2,770.525
MOD16A3GF_006_ET_500m_doy2020001_aid0004,ET_500m,aid0004,2020-01-01,6480,382.0,1386.5,"(382.0,1386.5)",735.9918981,129.2549734,16706.848155,813.1,1053.2,741.6,409.6,651.075
MOD16A3GF_006_ET_500m_doy2015001_aid0005,ET_500m,aid0005,2015-01-01,5912,656.1,1668.5,"(656.1,1668.5)",972.5616712,119.0685681,14177.3238996,1025.6,1200.0,958.5,734.6,909.175
MOD16A3GF_006_ET_500m_doy2016001_aid0005,ET_500m,aid0005,2016-01-01,5912,622.5,1635.9,"(622.5,1635.9)",909.5973782,126.9582869,16118.4066186,968.925,1170.7,890.8,633.2,834.4
MOD16A3GF_006_ET_500m_doy2017001_aid0005,ET_500m,aid0005,2017-01-01,5912,615.8,1510.9,"(615.8,1510.9)",890.1805142,112.4528795,12645.6500973,939.625,1108.5,876.4,657.5,826.7
MOD16A3GF_006_ET_500m_doy2018001_aid0005,ET_500m,aid0005,2018-01-01,5912,616.9,1699.7,"(616.9,1699.7)",961.0253721,128.8437828,16600.7203542,1016.6,1205.2,945.65,702.0,890.7
MOD16A3GF_006_ET_500m_doy2019001_aid0005,ET_500m,aid0005,2019-01-01,5912,577.5,1534.3,"(577.5,1534.3)",905.1359777,126.5559388,16016.4056457,963.0,1155.8,891.4,640.2,833.675
MOD16A3GF_006_ET_500m_doy2020001_aid0005,ET_500m,aid0005,2020-01-01,5912,463.0,1450.3,"(463.0,1450.3)",780.9626691,118.4232878,14024.0750898,829.4,1001.5,768.5,542.4,714.5
MOD16A3GF_006_ET_500m_doy2015001_aid0006,ET_500m,aid0006,2015-01-01,18624,549.7,1600.7,"(549.7,1600.7)",993.9474334,137.3214368,18857.1770177,1078.1,1331.2,983.2,656.3,909.175
MOD16A3GF_006_ET_500m_doy2016001_aid0006,ET_500m,aid0006,2016-01-01,18624,621.1,1605.2,"(621.1,1605.2)",949.3827964,137.0189499,18774.1926336,1035.125,1298.2,933.0,621.1,858.8
MOD16A3GF_006_ET_500m_doy2017001_aid0006,ET_500m,aid0006,2017-01-01,18624,615.3,1548.6,"(615.3,1548.6)",937.861163,130.5270861,17037.3202147,1018.725,1269.3,921.6,615.3,851.6
MOD16A3GF_006_ET_500m_doy2018001_aid0006,ET_500m,aid0006,2018-01-01,18624,622.6,1584.4,"(622.6,1584.4)",990.5018417,139.3467518,19417.5172426,1078.0,1347.0,973.6,631.9,898.575
MOD16A3GF_006_ET_500m_doy2019001_aid0006,ET_500m,aid0006,2019-01-01,18624,587.2,1571.9,"(587.2,1571.9)",941.7752577,134.5291179,18098.0835642,1027.425,1290.4,926.7,595.4,852.1
MOD16A3GF_006_ET_500m_doy2020001_aid0006,ET_500m,aid0006,2020-01-01,18624,456.1,1489.8,"(456.1,1489.8)",856.395393,133.934402,17938.4240273,935.7,1181.3,846.4,526.3,771.9
MOD16A3GF_006_ET_500m_doy2015001_aid0007,ET_500m,aid0007,2015-01-01,9391,638.1,1642.5,"(638.1,1642.5)",1018.097061,123.4262272,15234.0335533,1089.8,1309.4,1007.5,723.2,943.1
MOD16A3GF_006_ET_500m_doy2016001_aid0007,ET_500m,aid0007,2016-01-01,9391,572.4,1489.7,"(572.4,1489.7)",910.6170482,126.5088818,16004.4971633,986.0,1227.2,897.2,591.0,825.15
MOD16A3GF_006_ET_500m_doy2017001_aid0007,ET_500m,aid0007,2017-01-01,9391,605.5,1559.5,"(605.5,1559.5)",956.9092855,116.6478492,13606.7207209,1025.9,1236.8,946.6,673.6,884.9
MOD16A3GF_006_ET_500m_doy2018001_aid0007,ET_500m,aid0007,2018-01-01,9391,623.4,1807.3,"(623.4,1807.3)",1000.2458205,145.1227875,21060.6234388,1088.45,1364.2,982.7,629.7,903.85
MOD16A3GF_006_ET_500m_doy2019001_aid0007,ET_500m,aid0007,2019-01-01,9391,552.1,1435.9,"(552.1,1435.9)",932.5961559,121.6631823,14801.9299171,1005.25,1228.8,924.6,632.8,856.2
MOD16A3GF_006_ET_500m_doy2020001_aid0007,ET_500m,aid0007,2020-01-01,9391,461.7,1474.3,"(461.7,1474.3)",875.1616761,123.7009989,15301.9371289,949.25,1171.0,872.9,580.1,801.35
MOD16A3GF_006_ET_500m_doy2015001_aid0008,ET_500m,aid0008,2015-01-01,5252,570.9,1627.7,"(570.9,1627.7)",906.9806169,126.5665326,16019.0871643,984.425,1215.0,912.4,599.4,830.275
MOD16A3GF_006_ET_500m_doy2016001_aid0008,ET_500m,aid0008,2016-01-01,5252,564.8,1786.2,"(564.8,1786.2)",864.9583206,126.0749333,15894.8888169,933.0,1150.5,866.3,578.3,787.95
MOD16A3GF_006_ET_500m_doy2017001_aid0008,ET_500m,aid0008,2017-01-01,5252,562.5,1569.0,"(562.5,1569.0)",852.541508,115.2246345,13276.7163921,919.125,1127.0,855.4,581.6,779.775
MOD16A3GF_006_ET_500m_doy2018001_aid0008,ET_500m,aid0008,2018-01-01,5252,592.3,1678.9,"(592.3,1678.9)",913.0825209,130.0764272,16919.8769146,981.1,1192.1,915.4,629.2,840.15
MOD16A3GF_006_ET_500m_doy2019001_aid0008,ET_500m,aid0008,2019-01-01,5252,563.9,1694.4,"(563.9,1694.4)",853.3220107,120.8279115,14599.3842033,919.6,1126.2,856.1,581.4,781.475
MOD16A3GF_006_ET_500m_doy2020001_aid0008,ET_500m,aid0008,2020-01-01,5252,368.8,1388.2,"(368.8,1388.2)",726.2723153,132.2910132,17500.9121772,804.1,1038.6,732.0,430.9,647.575
MOD16A3GF_006_ET_500m_doy2015001_aid0009,ET_500m,aid0009,2015-01-01,2073,555.7,1535.1,"(555.7,1535.1)",833.8118186,160.1255291,25640.1850557,928.5,1266.2,812.8,555.7,701.8
MOD16A3GF_006_ET_500m_doy2016001_aid0009,ET_500m,aid0009,2016-01-01,2073,519.2,1553.4,"(519.2,1553.4)",760.9339122,145.0821807,21048.8391635,839.0,1123.2,741.3,519.2,647.2
MOD16A3GF_006_ET_500m_doy2017001_aid0009,ET_500m,aid0009,2017-01-01,2073,550.1,1341.4,"(550.1,1341.4)",805.24274,139.8777193,19565.7763498,898.6,1212.5,789.3,550.1,689.2
MOD16A3GF_006_ET_500m_doy2018001_aid0009,ET_500m,aid0009,2018-01-01,2073,551.7,1643.4,"(551.7,1643.4)",836.6424988,168.3914264,28355.6724968,943.2,1298.5,812.3,551.7,704.3
MOD16A3GF_006_ET_500m_doy2019001_aid0009,ET_500m,aid0009,2019-01-01,2073,502.0,1416.3,"(502.0,1416.3)",780.3648336,150.3112641,22593.476115,875.7,1187.6,757.4,502.0,661.5
MOD16A3GF_006_ET_500m_doy2020001_aid0009,ET_500m,aid0009,2020-01-01,2073,416.1,1259.5,"(416.1,1259.5)",710.4210323,150.1065775,22531.9845938,809.8,1135.7,689.3,416.1,590.8
