File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2010001_aid0001,ET_500m,aid0001,2010-01-01,1827,566.9,1584.2,"(566.9,1584.2)",1144.791133,304.9539584,92996.9167139,1480.2,1584.2,1110.7,566.9,832.0
MOD16A3GF_006_ET_500m_doy2011001_aid0001,ET_500m,aid0001,2011-01-01,1827,406.5,1609.4,"(406.5,1609.4)",1160.2065681,322.1474489,103778.9788074,1515.15,1609.4,1101.1,406.5,858.9
MOD16A3GF_006_ET_500m_doy2012001_aid0001,ET_500m,aid0001,2012-01-01,1827,287.4,1617.3,"(287.4,1617.3)",1063.6964423,382.0189131,145938.4499764,1504.85,1617.3,959.2,287.4,703.2
MOD16A3GF_006_ET_500m_doy2013001_aid0001,ET_500m,aid0001,2013-01-01,1827,428.4,1609.0,"(428.4,1609.0)",1156.4535304,298.824455,89296.0549232,1482.6,1609.0,1121.1,428.4,894.4
MOD16A3GF_006_ET_500m_doy2014001_aid0001,ET_500m,aid0001,2014-01-01,1827,521.2,1714.1,"(521.2,1714.1)",1165.6520525,306.4180011,93891.9913956,1493.4,1714.1,1152.7,521.2,849.45
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,1827,592.4,1763.9,"(592.4,1763.9)",1148.7266557,272.3921582,74197.4878226,1422.45,1763.9,1170.3,592.4,863.3
MOD16A3GF_006_ET_500m_doy2010001_aid0002,ET_500m,aid0002,2010-01-01,1233,0.0,1570.5,"(0.0,1570.5)",861.7089213,165.8648121,27511.1358815,854.0,968.8,806.6,664.1,775.6
MOD16A3GF_006_ET_500m_doy2011001_aid0002,ET_500m,aid0002,2011-01-01,1233,0.0,1630.5,"(0.0,1630.5)",901.4473642,175.9538908,30959.7716901,930.1,1124.0,853.9,629.6,799.4
MOD16A3GF_006_ET_500m_doy2012001_aid0002,ET_500m,aid0002,2012-01-01,1233,0.0,1524.0,"(0.0,1524.0)",764.8684509,175.6970038,30869.4371312,775.9,929.2,713.3,523.7,673.7
MOD16A3GF_006_ET_500m_doy2013001_aid0002,ET_500m,aid0002,2013-01-01,1233,0.0,1594.2,"(0.0,1594.2)",912.3753447,161.7728019,26170.4394408,933.4,1095.1,880.2,663.3,824.1
MOD16A3GF_006_ET_500m_doy2014001_aid0002,ET_500m,aid0002,2014-01-01,1233,0.0,1657.5,"(0.0,1657.5)",891.8862125,178.2500625,31773.0847734,896.9,1046.3,837.4,652.0,796.5
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,1233,0.0,1627.5,"(0.0,1627.5)",908.463747,166.7288039,27798.4940547,925.2,1092.1,859.2,661.7,812.1
MOD16A3GF_006_ET_500m_doy2010001_aid0003,ET_500m,aid0003,2010-01-01,902,605.0,1430.6,"(605.0,1430.6)",840.895122,132.417236,17534.3243886,852.9,982.4,800.8,639.6,765.45
MOD16A3GF_006_ET_500m_doy2011001_aid0003,ET_500m,aid0003,2011-01-01,902,538.5,1596.9,"(538.5,1596.9)",849.6272727,150.1814673,22554.4731143,883.0,1067.9,812.3,597.2,759.6
MOD16A3GF_006_ET_500m_doy2012001_aid0003,ET_500m,aid0003,2012-01-01,902,430.9,1452.7,"(430.9,1452.7)",715.3094235,153.1847439,23465.5657759,721.975,853.2,674.55,510.7,633.925
MOD16A3GF_006_ET_500m_doy2013001_aid0003,ET_500m,aid0003,2013-01-01,902,556.7,1430.9,"(556.7,1430.9)",878.6740576,131.5622315,17308.6207461,915.45,1090.8,853.3,619.3,796.7
MOD16A3GF_006_ET_500m_doy2014001_aid0003,ET_500m,aid0003,2014-01-01,902,593.1,1513.2,"(593.1,1513.2)",864.2088692,147.2028354,21668.674755,891.15,1062.5,825.55,600.9,774.0
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,902,641.1,1579.6,"(641.1,1579.6)",877.6614191,132.2197564,17482.0639882,888.225,1012.4,839.05,681.7,803.0
MOD16A3GF_006_ET_500m_doy2010001_aid0004,ET_500m,aid0004,2010-01-01,2786,651.2,1921.0,"(651.2,1921.0)",917.1346734,191.903072,36826.7890418,1058.275,1467.8,822.9,651.2,784.8
MOD16A3GF_006_ET_500m_doy2011001_aid0004,ET_500m,aid0004,2011-01-01,2786,575.0,1993.0,"(575.0,1993.0)",949.164537,199.4268542,39771.0701853,1089.1,1508.8,872.1,575.0,809.025
MOD16A3GF_006_ET_500m_doy2012001_aid0004,ET_500m,aid0004,2012-01-01,2786,409.1,2036.6,"(409.1,2036.6)",765.1147882,227.6166994,51809.3618488,928.275,1397.7,660.6,409.1,612.3
MOD16A3GF_006_ET_500m_doy2013001_aid0004,ET_500m,aid0004,2013-01-01,2786,585.2,1998.6,"(585.2,1998.6)",958.5129935,195.4480634,38199.9454737,1107.75,1530.8,873.9,585.2,824.5
MOD16A3GF_006_ET_500m_doy2014001_aid0004,ET_500m,aid0004,2014-01-01,2786,587.2,2045.8,"(587.2,2045.8)",953.2674444,218.0411264,47541.9328202,1131.15,1617.9,848.45,587.2,801.325
MOD16A3GF_006_ET_500m_doy2015001_aid0004,ET_500m,aid0004,2015-01-01,2786,675.0,1968.1,"(675.0,1968.1)",968.4925341,220.5699377,48651.0974317,1135.4,1603.8,855.15,675.0,810.5
MOD16A3GF_006_ET_500m_doy2010001_aid0005,ET_500m,aid0005,2010-01-01,1605,607.8,1660.3,"(607.8,1660.3)",945.4280374,191.5563128,36693.8209585,1124.1,1529.1,839.4,607.8,790.2
MOD16A3GF_006_ET_500m_doy2011001_aid0005,ET_500m,aid0005,2011-01-01,1605,513.2,1681.3,"(513.2,1681.3)",965.2461059,207.1323776,42903.8218618,1158.4,1681.3,863.7,513.2,799.6
MOD16A3GF_006_ET_500m_doy2012001_aid0005,ET_500m,aid0005,2012-01-01,1605,398.1,1534.6,"(398.1,1534.6)",833.354704,213.8888453,45748.4381414,1053.2,1534.6,723.4,398.1,665.6
MOD16A3GF_006_ET_500m_doy2013001_aid0005,ET_500m,aid0005,2013-01-01,1605,519.2,1656.4,"(519.2,1656.4)",992.2831776,196.4076352,38575.9591812,1179.5,1656.4,898.5,519.2,840.6
MOD16A3GF_006_ET_500m_doy2014001_aid0005,ET_500m,aid0005,2014-01-01,1605,555.5,1765.2,"(555.5,1765.2)",996.0821807,221.4489725,49039.6474083,1206.8,1765.2,884.3,555.5,819.5
MOD16A3GF_006_ET_500m_doy2015001_aid0005,ET_500m,aid0005,2015-01-01,1605,597.3,1840.8,"(597.3,1840.8)",1017.9256698,233.8089712,54666.6350171,1237.0,1840.8,894.0,597.3,832.1
MOD16A3GF_006_ET_500m_doy2010001_aid0006,ET_500m,aid0006,2010-01-01,4084,602.8,1646.2,"(602.8,1646.2)",961.9834966,233.888866,54704.0016277,1037.125,1367.8,856.35,602.8,815.975
MOD16A3GF_006_ET_500m_doy2011001_aid0006,ET_500m,aid0006,2011-01-01,4084,486.4,1678.3,"(486.4,1678.3)",1000.9864594,249.5648751,62282.626871,1084.5,1456.2,906.65,486.4,834.75
MOD16A3GF_006_ET_500m_doy2012001_aid0006,ET_500m,aid0006,2012-01-01,4084,393.8,1615.5,"(393.8,1615.5)",869.5427277,281.1317323,79035.0509143,912.175,1225.9,762.7,393.8,701.725
MOD16A3GF_006_ET_500m_doy2013001_aid0006,ET_500m,aid0006,2013-01-01,4084,491.3,1572.9,"(491.3,1572.9)",1004.3904261,222.037285,49300.5559147,1048.5,1322.1,924.7,604.5,866.1
