File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2010001_aid0001,ET_500m,aid0001,2010-01-01,3102.0,587.0,1775.9,"(587.0,1775.9)",863.0272083,190.1600087,36160.8288987,918.9,1187.8,803.1,587.0,739.6
MOD16A3GF_006_ET_500m_doy2011001_aid0001,ET_500m,aid0001,2011-01-01,3102.0,522.1,1934.1,"(522.1,1934.1)",881.972824,211.8400102,44876.1899288,944.675,1236.4,814.45,522.1,749.675
MOD16A3GF_006_ET_500m_doy2012001_aid0001,ET_500m,aid0001,2012-01-01,3102.0,376.2,1806.2,"(376.2,1806.2)",806.5592521,208.4608305,43455.9178689,880.65,1196.0,752.65,376.2,670.0
MOD16A3GF_006_ET_500m_doy2013001_aid0001,ET_500m,aid0001,2013-01-01,3102.0,472.6,1858.2,"(472.6,1858.2)",866.0770793,206.4296708,42613.2090072,943.0,1268.6,811.6,472.6,725.7
MOD16A3GF_006_ET_500m_doy2014001_aid0001,ET_500m,aid0001,2014-01-01,3102.0,506.2,1780.0,"(506.2,1780.0)",890.8313991,200.9300651,40372.8910579,981.25,1316.9,835.1,506.2,755.225
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,3102.0,596.3,1863.1,"(596.3,1863.1)",985.7883623,206.0952125,42475.2366247,1074.675,1423.1,931.35,596.3,841.825
MOD16A3GF_006_ET_500m_doy2010001_aid0002,ET_500m,aid0002,2010-01-01,2733.0,574.8,1770.5,"(574.8,1770.5)",804.8787413,193.5315114,37454.445911,806.0,959.0,745.3,574.8,703.3
MOD16A3GF_006_ET_500m_doy2011001_aid0002,ET_500m,aid0002,2011-01-01,2733.0,554.7,1975.9,"(554.7,1975.9)",814.8170143,212.6781073,45231.9773432,830.3,1031.8,748.1,554.7,695.7
MOD16A3GF_006_ET_500m_doy2012001_aid0002,ET_500m,aid0002,2012-01-01,2733.0,431.2,1855.6,"(431.2,1855.6)",750.8350165,223.2814665,49854.6132744,777.7,1009.0,684.8,431.2,622.7
MOD16A3GF_006_ET_500m_doy2013001_aid0002,ET_500m,aid0002,2013-01-01,2733.0,520.9,1885.9,"(520.9,1885.9)",799.4336992,215.5690656,46470.022044,819.9,1032.0,731.6,520.9,678.4
MOD16A3GF_006_ET_500m_doy2014001_aid0002,ET_500m,aid0002,2014-01-01,2733.0,533.7,1776.4,"(533.7,1776.4)",844.6189169,206.7348634,42739.3037292,869.1,1088.1,787.7,533.7,722.9
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,2733.0,597.1,1887.2,"(597.1,1887.2)",921.0235638,191.9691296,36852.1467115,948.7,1157.2,866.1,653.9,809.7
MOD16A3GF_006_ET_500m_doy2010001_aid0003,ET_500m,aid0003,2010-01-01,7624.0,563.0,2021.2,"(563.0,2021.2)",967.9596537,337.3244994,113787.8178816,1261.05,2021.2,790.15,563.0,723.6
MOD16A3GF_006_ET_500m_doy2011001_aid0003,ET_500m,aid0003,2011-01-01,7624.0,534.7,2087.1,"(534.7,2087.1)",983.258447,354.7619074,125856.0109622,1319.775,2087.1,804.6,534.7,720.6
MOD16A3GF_006_ET_500m_doy2012001_aid0003,ET_500m,aid0003,2012-01-01,7624.0,431.5,2120.1,"(431.5,2120.1)",957.7952387,386.0058864,149000.5443491,1274.25,2120.1,769.95,431.5,674.875
MOD16A3GF_006_ET_500m_doy2013001_aid0003,ET_500m,aid0003,2013-01-01,7624.0,505.3,2114.6,"(505.3,2114.6)",1001.4514166,360.5065614,129964.9808453,1355.275,2114.6,824.0,505.3,738.375
MOD16A3GF_006_ET_500m_doy2014001_aid0003,ET_500m,aid0003,2014-01-01,7624.0,470.2,2026.4,"(470.2,2026.4)",1001.6320829,344.477402,118664.6805132,1340.125,2026.4,838.1,470.2,747.8
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,7624.0,534.4,2044.8,"(534.4,2044.8)",1042.2315058,303.0759207,91855.0137031,1373.075,2044.8,907.0,534.4,811.0
MOD16A3GF_006_ET_500m_doy2010001_aid0004,ET_500m,aid0004,2010-01-01,5427.0,0.0,1747.1,"(0.0,1747.1)",817.0970886,151.8590104,23061.159037,841.0,997.9,779.0,584.9,736.3
MOD16A3GF_006_ET_500m_doy2011001_aid0004,ET_500m,aid0004,2011-01-01,5427.0,0.0,1843.4,"(0.0,1843.4)",763.2730238,156.1162674,24372.2889388,788.95,952.1,724.6,520.6,679.3
