country,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees/hect_bear,trees/hect_nonbear,year
Brazil,1500,4465,495,2120,2106,3030,2002
Brazil,1125,5265,315,2360,2231,3577,2003
Brazil,631,5050,205,2174,2323,3075,2004
Brazil,466,5255,148,2305,2280,3149,2005
Brazil,581,5330,175,2298,2319,3320,2006
Brazil,563,5730,186,2245,2552,3030,2007
Brazil,679,5720,196,2235,2559,3468,2008
Brazil,663,5770,188,2223,2596,3527,2009
Brazil,873,5725,244,2151,2662,3578,2010
Brazil,815,5820,234,2175,2676,3483,2011
Brazil,835,5760,260,2150,2679,3212,2012
Brazil,1000,5860,282,2105,2784,3546,2013
Brazil,1055,5810,307,2135,2721,3436,2014
Brazil,1185,5770,347,2090,2761,3415,2015
Brazil,1125,5735,340,2070,2771,3309,2016
Brazil,1300,5640,380,2020,2792,3421,2017
Brazil,1150,5740,335,2060,2786,3433,2019
Brazil,1230,5700,350,2040,2794,3514,2020
Brazil,1050,6200,320,2100,2952,3281,2021
Brazil,1500,6010,470,2010,2990,3191,2022
Brazil,1510,6100,475,2020,3020,3179,2023
