country,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,year
Brazil,873,5725,244,2151,2010
Brazil,815,5820,234,2175,2011
Brazil,835,5760,260,2150,2012
Brazil,1000,5860,282,2105,2013
Brazil,1055,5810,307,2135,2014
Brazil,1185,5770,347,2090,2015
Brazil,1125,5735,340,2070,2016
Brazil,1125,5735,340,2070,2017
Brazil,1300,5640,380,2020,2018
Brazil,1150,5740,335,2060,2019
Brazil,1230,5700,350,2040,2020
Brazil,1050,6200,320,2100,2021
Brazil,1500,6010,470,2010,2022
Brazil,1510,6100,475,2020,2023
