"country","subdivision","type","million_60kgs_bag","year","nonbear_mill_trees","bear_mill_trees","nonbear_thous_hect","bear_thous_hect","trees_hect_bear","trees_hect_nonbear","median_et","temp_c","rel_humid","wind_speed"
"Brazil","Minas Gerais","Arabica",16.2,2002,1500,4465,495,2120,2106,3030,955.35,21.64668662,76.47317088,5.460144928
"Brazil","Espirito Santo","Arabica",2.2,2002,1500,4465,495,2120,2106,3030,1082.4,25.79296351,81.55261211,7.624442793
"Brazil","Espirito Santo","Robusta",7.5,2002,1500,4465,495,2120,2106,3030,1082.4,25.79296351,81.55261211,7.624442793
"Brazil","Sao Paulo","Arabica",3.2,2002,1500,4465,495,2120,2106,3030,815.6,21.80066123,73.38155944,5.992165021
"Brazil","Parana","Arabica",0.5,2002,1500,4465,495,2120,2106,3030,897.35,21.24788515,78.53802242,5.259280217
"Brazil","Minas Gerais","Arabica",26.7,2003,1125,5265,315,2360,2231,3577,1055.9,21.2899802,76.86089369,5.709612188
"Brazil","Espirito Santo","Arabica",3,2003,1125,5265,315,2360,2231,3577,1160.35,25.42129151,79.58113459,7.411980889
"Brazil","Espirito Santo","Robusta",8.5,2003,1125,5265,315,2360,2231,3577,1160.35,25.42129151,79.58113459,7.411980889
"Brazil","Sao Paulo","Arabica",5.9,2003,1125,5265,315,2360,2231,3577,858.45,20.96333678,76.99731868,5.981559805
"Brazil","Parana","Arabica",2.6,2003,1125,5265,315,2360,2231,3577,928.1,20.53448566,77.84232457,5.266400293
"Brazil","Minas Gerais","Arabica",14.4,2004,631,5050,205,2174,2323,3075,1065.5,20.72839836,82.0923408,5.606169297
"Brazil","Espirito Santo","Arabica",1.7,2004,631,5050,205,2174,2323,3075,1255.8,24.56369989,80.55019732,7.526102941
"Brazil","Espirito Santo","Robusta",6.2,2004,631,5050,205,2174,2323,3075,1255.8,24.56369989,80.55019732,7.526102941
"Brazil","Sao Paulo","Arabica",3.1,2004,631,5050,205,2174,2323,3075,849.85,20.55668793,78.35679002,6.663234189
"Brazil","Parana","Arabica",2.2,2004,631,5050,205,2174,2323,3075,943.5,20.28440448,78.56637117,5.282465612
"Brazil","Minas Gerais","Arabica",21.4,2005,466,5255,148,2305,2280,3149,1016.8,21.01610031,83.2427003,5.617584852
"Brazil","Espirito Santo","Arabica",2.5,2005,466,5255,148,2305,2280,3149,1120.4,25.07189402,81.3156155,7.320284698
"Brazil","Espirito Santo","Robusta",5.6,2005,466,5255,148,2305,2280,3149,1120.4,25.07189402,81.3156155,7.320284698
"Brazil","Sao Paulo","Arabica",4.9,2005,466,5255,148,2305,2280,3149,858.3,20.80813511,77.25471163,5.803789379
"Brazil","Parana","Arabica",2.6,2005,466,5255,148,2305,2280,3149,902.8,20.77240982,79.25453429,5.384606783
"Brazil","Minas Gerais","Arabica",16.3,2006,581,5330,175,2298,2319,3320,944.1,20.80608704,78.45191902,4.752051048
"Brazil","Espirito Santo","Arabica",2.2,2006,581,5330,175,2298,2319,3320,1091.1,24.99430592,78.44929641,7.670509483
"Brazil","Espirito Santo","Robusta",6.2,2006,581,5330,175,2298,2319,3320,1091.1,24.99430592,78.44929641,7.670509483
"Brazil","Sao Paulo","Arabica",3.3,2006,581,5330,175,2298,2319,3320,860.475,21.07638229,75.21562097,5.191493097
"Brazil","Parana","Arabica",1.8,2006,581,5330,175,2298,2319,3320,940.6,20.49683761,77.13430029,5.151969146
"Brazil","Minas Gerais","Arabica",23.7,2007,563,5730,186,2245,2552,3030,992.9,22.04945586,66.05899868,5.187923213
