"typeArabica","million_60kgs_bag","median_et","temp_c","rel_humid","wind_speed","avg_unemp_perc"
1,0.5,897.35,21.24788515,78.53802242,5.259280217,6.95
1,2.6,928.1,20.53448566,77.84232457,5.266400293,7.16
1,2.2,943.5,20.28440448,78.56637117,5.282465612,6.15
1,2.6,902.8,20.77240982,79.25453429,5.384606783,6.71
1,1.8,940.6,20.49683761,77.13430029,5.151969146,6.53
1,2.5,965.8,20.4833114,75.4438973,5.612674732,5.91
1,1.95,1014.5,20.09600729,75.40314453,5.767343005,4.59
1,23.5,1078.9,21.53311693,66.36871886,5.744985138,6.975
1,2.7,1150.5,25.07201385,76.88862996,7.2507203,7.125
0,10.8,1150.5,25.07201385,76.88862996,7.2507203,7.125
1,4.1,975.9,22.06304218,71.24547799,5.324713547,7.275
1,1.9,1036.15,20.92103104,73.73301314,6.78809567,5.025
1,28.5,961,21.92643475,68.74690041,5.870781032,6.65
1,3,1151.5,24.88403243,77.52721909,6.885915808,7.15
0,11.8,1151.5,24.88403243,77.52721909,6.885915808,7.15
1,5.4,860.65,21.76395361,72.45780331,5.598107744,7.325
1,1.8,1036.3,20.2100477,77.34647583,6.589940032,4.4
1,29.4,1043.5,22.83810275,62.45366867,6.008172267,6.8
1,29.4,1043.5,22.83810275,62.45366867,6.008172267,6.8
1,3.5,1054.5,24.97572595,71.16844243,7.738672406,6.275
1,3.5,1054.5,24.97572595,71.16844243,7.738672406,6.275
0,12.3,1054.5,24.97572595,71.16844243,7.738672406,6.275
0,12.3,1054.5,24.97572595,71.16844243,7.738672406,6.275
1,4.6,1026.575,23.03199993,65.58914439,5.695102941,7.225
1,4.6,1026.575,23.03199993,65.58914439,5.695102941,7.225
1,1.7,1047.1,21.1150194,75.74187318,6.638310956,4.125
1,1.7,1047.1,21.1150194,75.74187318,6.638310956,4.125
1,26,1056.6,23.10025313,65.25989827,5.957197626,8.625
1,3.3,1111.9,24.74295815,73.5696407,8.201734368,7.85
0,13.1,1111.9,24.74295815,73.5696407,8.201734368,7.85
1,4.6,979,22.8212859,71.46511907,5.39095354,9.475
1,1,1050.9,21.07601418,77.63379448,6.392002819,5.925
1,25.3,999.55,22.81199643,65.9318714,5.958442117,11.2
1,3.1,1074.7,25.18494546,77.36523553,7.858999202,12.375
0,9.9,1074.7,25.18494546,77.36523553,7.858999202,12.375
1,4.3,972.525,22.09407228,71.3891644,5.492840416,12.45
1,1.2,1029.35,20.28855676,75.66432461,5.916193018,8.3
1,32.5,1108.2,22.35591251,64.18018484,6.318025279,12.25
1,3.8,1255.3,24.38542381,78.95009253,7.531985378,13.275
0,6.7,1255.3,24.38542381,78.95009253,7.531985378,13.275
1,5.9,993.8,22.33573665,70.15637561,5.569773539,13.525
1,1.1,1056.9,20.9908324,75.98997302,6.216850986,9.05
1,34.2,1093.5,23.03465139,64.00891586,5.92062996,10.1
1,4.7,1277,25.05167003,79.1107613,7.346881648,11.1
0,10.9,1277,25.05167003,79.1107613,7.346881648,11.1
1,6.5,893.35,22.72380747,70.75697143,5.443597587,12.55
1,1.2,1004,21.57220767,74.81766138,6.159388236,8.65
1,1.1,946.5,21.60961553,72.75499089,6.136498141,9.55
