country,subdivision,type,million_60kgs_bag,year,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees_hect_bear,trees_hect_nonbear,max_et,median_et,mean_et,temp_c,rel_humid,wind_speed,avg_unemp_perc
Brazil,Minas Gerais,Arabica,16.2,2002,1500,4465,495,2120,2106,3030,2160,955.35,964.1550976,21.64668662,76.47317088,5.460144928,
Brazil,Espirito Santo,Arabica,2.2,2002,1500,4465,495,2120,2106,3030,2235,1082.4,1076.1578,25.79296351,81.55261211,7.624442793,
Brazil,Espirito Santo,Robusta,7.5,2002,1500,4465,495,2120,2106,3030,2235,1082.4,1076.1578,25.79296351,81.55261211,7.624442793,
Brazil,Sao Paulo,Arabica,3.2,2002,1500,4465,495,2120,2106,3030,2024.9,815.6,877.6904251,21.80066123,73.38155944,5.992165021,
Brazil,Parana,Arabica,0.5,2002,1500,4465,495,2120,2106,3030,2126.6,897.35,930.0832449,21.24788515,78.53802242,5.259280217,6.95
Brazil,Minas Gerais,Arabica,26.7,2003,1125,5265,315,2360,2231,3577,2354.7,1055.9,1049.625387,21.2899802,76.86089369,5.709612188,
Brazil,Espirito Santo,Arabica,3,2003,1125,5265,315,2360,2231,3577,2294.1,1160.35,1204.527242,25.42129151,79.58113459,7.411980889,
Brazil,Espirito Santo,Robusta,8.5,2003,1125,5265,315,2360,2231,3577,2294.1,1160.35,1204.527242,25.42129151,79.58113459,7.411980889,
Brazil,Sao Paulo,Arabica,5.9,2003,1125,5265,315,2360,2231,3577,2130,858.45,909.4729218,20.96333678,76.99731868,5.981559805,
Brazil,Parana,Arabica,2.6,2003,1125,5265,315,2360,2231,3577,2145,928.1,940.2919007,20.53448566,77.84232457,5.266400293,7.16
Brazil,Minas Gerais,Arabica,14.4,2004,631,5050,205,2174,2323,3075,2297.1,1065.5,1052.238602,20.72839836,82.0923408,5.606169297,
Brazil,Espirito Santo,Arabica,1.7,2004,631,5050,205,2174,2323,3075,2458,1255.8,1279.674348,24.56369989,80.55019732,7.526102941,
Brazil,Espirito Santo,Robusta,6.2,2004,631,5050,205,2174,2323,3075,2458,1255.8,1279.674348,24.56369989,80.55019732,7.526102941,
Brazil,Sao Paulo,Arabica,3.1,2004,631,5050,205,2174,2323,3075,2109.5,849.85,912.0253737,20.55668793,78.35679002,6.663234189,
Brazil,Parana,Arabica,2.2,2004,631,5050,205,2174,2323,3075,2125,943.5,954.1691687,20.28440448,78.56637117,5.282465612,6.15
Brazil,Minas Gerais,Arabica,21.4,2005,466,5255,148,2305,2280,3149,2502.2,1016.8,1026.351853,21.01610031,83.2427003,5.617584852,
Brazil,Espirito Santo,Arabica,2.5,2005,466,5255,148,2305,2280,3149,2397.5,1120.4,1149.484923,25.07189402,81.3156155,7.320284698,
Brazil,Espirito Santo,Robusta,5.6,2005,466,5255,148,2305,2280,3149,2397.5,1120.4,1149.484923,25.07189402,81.3156155,7.320284698,
Brazil,Sao Paulo,Arabica,4.9,2005,466,5255,148,2305,2280,3149,2139.7,858.3,923.8298367,20.80813511,77.25471163,5.803789379,
Brazil,Parana,Arabica,2.6,2005,466,5255,148,2305,2280,3149,2137.3,902.8,923.8516269,20.77240982,79.25453429,5.384606783,6.71
Brazil,Minas Gerais,Arabica,16.3,2006,581,5330,175,2298,2319,3320,2312.9,944.1,946.5953629,20.80608704,78.45191902,4.752051048,
Brazil,Espirito Santo,Arabica,2.2,2006,581,5330,175,2298,2319,3320,2352.6,1091.1,1114.572977,24.99430592,78.44929641,7.670509483,
Brazil,Espirito Santo,Robusta,6.2,2006,581,5330,175,2298,2319,3320,2352.6,1091.1,1114.572977,24.99430592,78.44929641,7.670509483,
Brazil,Sao Paulo,Arabica,3.3,2006,581,5330,175,2298,2319,3320,2131.1,860.475,911.8560738,21.07638229,75.21562097,5.191493097,
Brazil,Parana,Arabica,1.8,2006,581,5330,175,2298,2319,3320,2134.7,940.6,961.6833231,20.49683761,77.13430029,5.151969146,6.53
Brazil,Minas Gerais,Arabica,23.7,2007,563,5730,186,2245,2552,3030,2348.8,992.9,997.0761111,22.04945586,66.05899868,5.187923213,
Brazil,Espirito Santo,Arabica,2.2,2007,563,5730,186,2245,2552,3030,2540.6,1175,1145.115965,24.91422486,76.61288312,8.344757318,
Brazil,Espirito Santo,Robusta,7.8,2007,563,5730,186,2245,2552,3030,2540.6,1175,1145.115965,24.91422486,76.61288312,8.344757318,
Brazil,Sao Paulo,Arabica,4.9,2007,563,5730,186,2245,2552,3030,2344,899.175,945.0853905,21.87946275,71.09372462,5.312684114,
Brazil,Parana,Arabica,2.5,2007,563,5730,186,2245,2552,3030,2198.9,965.8,980.3687462,20.4833114,75.4438973,5.612674732,5.91
Brazil,Minas Gerais,Arabica,16.85,2008,679,5720,196,2235,2559,3468,,,,21.52117822,70.62169212,4.809553263,
Brazil,Espirito Santo,Arabica,2.2,2008,679,5720,196,2235,2559,3468,,,,25.14378746,76.22666977,7.564576635,
Brazil,Espirito Santo,Robusta,8.2,2008,679,5720,196,2235,2559,3468,,,,25.14378746,76.22666977,7.564576635,
Brazil,Sao Paulo,Arabica,3.1,2008,679,5720,196,2235,2559,3468,2200.2,1004.675,1040.359341,21.63203114,74.11694696,5.20167493,
Brazil,Parana,Arabica,1.95,2008,679,5720,196,2235,2559,3468,2235.7,1014.5,1030.022897,20.09600729,75.40314453,5.767343005,4.59
Brazil,Minas Gerais,Arabica,25.55,2009,663,5770,188,2223,2596,3527,2318.7,1074,1073.838043,21.78091476,72.00559179,4.994995538,
Brazil,Espirito Santo,Arabica,2.8,2009,663,5770,188,2223,2596,3527,2413.9,1167.3,1176.547466,25.65257551,74.78633064,7.679249707,
Brazil,Espirito Santo,Robusta,9,2009,663,5770,188,2223,2596,3527,2413.9,1167.3,1176.547466,25.65257551,74.78633064,7.679249707,
Brazil,Sao Paulo,Arabica,4.85,2009,663,5770,188,2223,2596,3527,2370.2,925.8,973.1190993,21.86334632,77.54365812,4.941898943,
Brazil,Parana,Arabica,2.5,2009,663,5770,188,2223,2596,3527,2057.8,995.4,1015.921203,19.98613734,78.4986935,5.94385511,
Brazil,Minas Gerais,Arabica,22.1,2010,873,5725,244,2151,2662,3578,2526.3,987.2,1006.785724,21.84735099,66.78319295,5.700360679,
Brazil,Espirito Santo,Arabica,2.4,2010,873,5725,244,2151,2662,3578,2274,1117.35,1143.616123,24.75443308,77.91090797,7.603461841,
Brazil,Espirito Santo,Robusta,8.2,2010,873,5725,244,2151,2662,3578,2274,1117.35,1143.616123,24.75443308,77.91090797,7.603461841,
Brazil,Sao Paulo,Arabica,4.2,2010,873,5725,244,2151,2662,3578,2266.3,904,962.3315913,21.9967391,72.63418319,5.293531115,
Brazil,Parana,Arabica,1.9,2010,873,5725,244,2151,2662,3578,2104.7,1019.6,1042.91343,19.79163009,75.89629006,6.607658086,
Brazil,Minas Gerais,Arabica,28.5,2011,815,5820,234,2175,2676,3483,2410.3,1043.55,1034.232962,21.45529063,67.74898212,5.630103313,
Brazil,Espirito Santo,Arabica,3.1,2011,815,5820,234,2175,2676,3483,2518.9,1158.1,1176.695308,24.04860517,79.39723141,6.883754918,
Brazil,Espirito Santo,Robusta,8.4,2011,815,5820,234,2175,2676,3483,2518.9,1158.1,1176.695308,24.04860517,79.39723141,6.883754918,
Brazil,Sao Paulo,Arabica,5,2011,815,5820,234,2175,2676,3483,2311,907.675,968.4033029,21.75457137,72.69654947,5.488526847,
Brazil,Parana,Arabica,2.4,2011,815,5820,234,2175,2676,3483,2295,993,993.3501709,20.21274685,76.20988185,6.480555556,
Brazil,Minas Gerais,Arabica,23.5,2012,835,5760,260,2150,2679,3212,2618.6,1078.9,1060.569776,21.53311693,66.36871886,5.744985138,6.975
Brazil,Espirito Santo,Arabica,2.7,2012,835,5760,260,2150,2679,3212,2577,1150.5,1154.156522,25.07201385,76.88862996,7.2507203,7.125
Brazil,Espirito Santo,Robusta,10.8,2012,835,5760,260,2150,2679,3212,2577,1150.5,1154.156522,25.07201385,76.88862996,7.2507203,7.125
Brazil,Sao Paulo,Arabica,4.1,2012,835,5760,260,2150,2679,3212,2272.8,975.9,1018.28096,22.06304218,71.24547799,5.324713547,7.275
Brazil,Parana,Arabica,1.9,2012,835,5760,260,2150,2679,3212,2249.7,1036.15,1046.736814,20.92103104,73.73301314,6.78809567,5.025
Brazil,Minas Gerais,Arabica,28.5,2013,1000,5860,282,2105,2784,3546,2514,961,991.9483156,21.92643475,68.74690041,5.870781032,6.65
Brazil,Espirito Santo,Arabica,3,2013,1000,5860,282,2105,2784,3546,2433.5,1151.5,1192.00593,24.88403243,77.52721909,6.885915808,7.15
Brazil,Espirito Santo,Robusta,11.8,2013,1000,5860,282,2105,2784,3546,2433.5,1151.5,1192.00593,24.88403243,77.52721909,6.885915808,7.15
Brazil,Sao Paulo,Arabica,5.4,2013,1000,5860,282,2105,2784,3546,2309.6,860.65,932.9155224,21.76395361,72.45780331,5.598107744,7.325
Brazil,Parana,Arabica,1.8,2013,1000,5860,282,2105,2784,3546,2428.5,1036.3,1057.235764,20.2100477,77.34647583,6.589940032,4.4
Brazil,Minas Gerais,Arabica,29.4,2014,1055,5810,307,2135,2721,3436,2499.9,1043.5,1015.790497,22.83810275,62.45366867,6.008172267,6.8
Brazil,Minas Gerais,Arabica,29.4,2014,1055,5810,307,2135,2721,3436,2499.9,1043.5,1015.790497,22.83810275,62.45366867,6.008172267,6.8
Brazil,Espirito Santo,Arabica,3.5,2014,1055,5810,307,2135,2721,3436,2414.5,1054.5,1061.517781,24.97572595,71.16844243,7.738672406,6.275
Brazil,Espirito Santo,Arabica,3.5,2014,1055,5810,307,2135,2721,3436,2414.5,1054.5,1061.517781,24.97572595,71.16844243,7.738672406,6.275
Brazil,Espirito Santo,Robusta,12.3,2014,1055,5810,307,2135,2721,3436,2414.5,1054.5,1061.517781,24.97572595,71.16844243,7.738672406,6.275
Brazil,Espirito Santo,Robusta,12.3,2014,1055,5810,307,2135,2721,3436,2414.5,1054.5,1061.517781,24.97572595,71.16844243,7.738672406,6.275
Brazil,Sao Paulo,Arabica,4.6,2014,1055,5810,307,2135,2721,3436,2407.8,1026.575,1048.448151,23.03199993,65.58914439,5.695102941,7.225
Brazil,Sao Paulo,Arabica,4.6,2014,1055,5810,307,2135,2721,3436,2407.8,1026.575,1048.448151,23.03199993,65.58914439,5.695102941,7.225
Brazil,Parana,Arabica,1.7,2014,1055,5810,307,2135,2721,3436,2233.9,1047.1,1081.137802,21.1150194,75.74187318,6.638310956,4.125
Brazil,Parana,Arabica,1.7,2014,1055,5810,307,2135,2721,3436,2233.9,1047.1,1081.137802,21.1150194,75.74187318,6.638310956,4.125
Brazil,Minas Gerais,Arabica,26,2015,1185,5770,347,2090,2761,3415,2360.4,1056.6,1044.401897,23.10025313,65.25989827,5.957197626,8.625
Brazil,Espirito Santo,Arabica,3.3,2015,1185,5770,347,2090,2761,3415,2346.7,1111.9,1065.113304,24.74295815,73.5696407,8.201734368,7.85
Brazil,Espirito Santo,Robusta,13.1,2015,1185,5770,347,2090,2761,3415,2346.7,1111.9,1065.113304,24.74295815,73.5696407,8.201734368,7.85
Brazil,Sao Paulo,Arabica,4.6,2015,1185,5770,347,2090,2761,3415,2322.5,979,1028.067664,22.8212859,71.46511907,5.39095354,9.475
Brazil,Parana,Arabica,1,2015,1185,5770,347,2090,2761,3415,2227.6,1050.9,1050.555357,21.07601418,77.63379448,6.392002819,5.925
Brazil,Minas Gerais,Arabica,25.3,2016,1125,5735,340,2070,2771,3309,2395.5,999.55,1001.191356,22.81199643,65.9318714,5.958442117,11.2
Brazil,Espirito Santo,Arabica,3.1,2016,1125,5735,340,2070,2771,3309,2713.3,1074.7,1109.496184,25.18494546,77.36523553,7.858999202,12.375
Brazil,Espirito Santo,Robusta,9.9,2016,1125,5735,340,2070,2771,3309,2713.3,1074.7,1109.496184,25.18494546,77.36523553,7.858999202,12.375
