"","country","subdivision","type","million_60kgs_bag","year","nonbear_mill_trees","bear_mill_trees","nonbear_thous_hect","bear_thous_hect","median_et","temp_c","rel_humid","wind_speed","avg_unemp_thou"
"1","Brazil","Minas Gerais","Arabica",28.5,2013,1000,5860,282,2105,961,21.3728454614977,69.7763107825524,6.22776480696868,696.25
"4","Brazil","Minas Gerais","Arabica",23.5,2012,835,5760,260,2150,1078.9,21.5327112751011,67.4178329250541,6.20397304008514,719.75
"5","Brazil","Espirito Santo","Arabica",3,2013,1000,5860,282,2105,1151.5,24.8840324286218,77.5272190879172,6.8859158083296,140.75
"8","Brazil","Espirito Santo","Arabica",2.7,2012,835,5760,260,2150,1150.5,25.0720138488171,76.8886299630656,7.25072030040965,136.5
"9","Brazil","Espirito Santo","Robusta",11.8,2013,1000,5860,282,2105,1151.5,24.8840324286218,77.5272190879172,6.8859158083296,140.75
"12","Brazil","Espirito Santo","Robusta",10.8,2012,835,5760,260,2150,1150.5,25.0720138488171,76.8886299630656,7.25072030040965,136.5
"13","Brazil","Sao Paulo","Arabica",5.4,2013,1000,5860,282,2105,860.65,22.6767309648055,69.8156815792548,6.3291425225828,1696.5
"16","Brazil","Sao Paulo","Arabica",4.1,2012,835,5760,260,2150,975.9,22.7959230786989,67.0113269594938,6.15110054912094,1651.75
"17","Brazil","Parana","Arabica",1.8,2013,1000,5860,282,2105,1036.3,20.0186638388123,77.4490364995969,6.81271318034172,252.5
"20","Brazil","Parana","Arabica",1.9,2012,835,5760,260,2150,1036.15,20.6074739448379,73.8877067658336,6.94436176302232,283.25
"21","Brazil","Minas Gerais","Arabica",32.5,2017,1125,5735,340,2070,1108.2,22.1934386006569,64.3881290322581,6.4144780159485,1356.5
"22","Brazil","Minas Gerais","Arabica",29.4,2014,1055,5810,307,2135,1043.5,22.4067154758899,63.8428522124639,6.10125056078959,714.25
"23","Brazil","Minas Gerais","Arabica",29.4,2014,1055,5810,307,2135,1043.5,22.4067154758899,63.8428522124639,6.10125056078959,714.25
"24","Brazil","Minas Gerais","Arabica",26,2015,1185,5770,347,2090,1056.6,22.5255055287434,67.4773688068911,6.08398503910235,924.25
"25","Brazil","Minas Gerais","Arabica",25.3,2016,1125,5735,340,2070,999.55,22.4217068839444,66.4975571960859,6.18389159519726,1223
"26","Brazil","Espirito Santo","Arabica",3.8,2017,1125,5735,340,2070,1255.3,24.38542380626,78.9500925291295,7.53198537811286,272.75
"27","Brazil","Espirito Santo","Arabica",3.5,2014,1055,5810,307,2135,1054.5,24.9757259528131,71.1684424276801,7.73867240598097,121.5
"28","Brazil","Espirito Santo","Arabica",3.5,2014,1055,5810,307,2135,1054.5,24.9757259528131,71.1684424276801,7.73867240598097,121.5
"29","Brazil","Espirito Santo","Arabica",3.3,2015,1185,5770,347,2090,1111.9,24.7429581480214,73.5696406980723,8.20173436786855,153.25
"30","Brazil","Espirito Santo","Arabica",3.1,2016,1125,5735,340,2070,1074.7,25.1849454632626,77.3652355267889,7.85899920209734,245.25
