State/Variety MY 13/14 MY 14/15 MY 15/16,MY 16/17,MY 17/18
Minas Gerais 29.40  26.00  25.30,32.50,29.10
Southwest 15.00  14.00  12.20,17.80,15.00
Central-western 5.50  6.20  5.50,7.20,5.60
Southeast 8.90  5.80  7.60,7.50,8.50
Espirito Santo 15.80  16.40  13.00,10.50,10.40
Arabica 3.50  3.30  3.10,3.80,3.20
Robusta 12.30  13.10  9.90,6.70,7.20
Sao Paulo 4.60  4.60  4.30,5.90,4.40
Parana 1.70  1.00  1.20,1.10,1.30
Others 5.70  6.30  5.60,6.10,6.90
Arabica 2.60  2.40  2.20,2.30,2.50
Robusta 3.10  3.90  3.40,3.80,4.40
Total 57.20  54.30  49.40,56.10,52.10
Arabica 41.80  37.30  36.10,45.60,40.50
Robusta 15.40  17.00  13.30,10.50,11.60
Source: ATO/Sao Paulo,,
