State/Variety,MY 17/18,MY 18/19,MY 19/20,MY 20/21,MY 21/22,MY 22/23
Minas Gerais,28.30,34.20,29.10,34.80,24.50,28.50
Southwest,14.80,19.20,16.20,19.70,13.00,15.20
Central-western,5.40,7.30,5.80,6.30,5.00,5.40
Southeast,8.10,7.70,7.10,8.80,6.50,7.90
Espirito Santo,10.60,15.60,16.80,19.10,19.40,21.00
Arabica,3.30,4.70,3.90,4.80,3.70,4.40
Robusta,7.30,10.90,12.90,14.30,15.70,16.60
Sao Paulo,4.30,6.50,5.40,6.40,4.60,5.10
Parana,1.30,1.20,1.10,1.10,1.00,0.80
Others,7.60,9.00,8.10,8.50,8.60,8.90
Arabica,2.30,3.10,2.50,2.60,2.60,2.70
Robusta,5.30,5.90,5.60,5.90,6.00,6.20
Total,52.10,66.50,60.50,69.90,58.10,64.30
Arabica,39.50,49.70,42.00,49.70,36.40,41.50
Robusta,12.60,16.80,18.50,20.20,21.70,22.80
Source: USDA/ATO/Sao Paulo.,,,,,,
,,,,,,
