subdivision,type,million_60kgs_bag,year
Minas Gerais,Arabica,28.5,2013
Minas Gerais,Arabica,26.8,2014
Minas Gerais,Arabica,22.1,2010
Minas Gerais,Arabica,28.5,2011
Minas Gerais,Arabica,23.5,2012
Espirito Santo,Arabica,3.0,2013
Espirito Santo,Arabica,3.3,2014
Espirito Santo,Arabica,2.4,2010
Espirito Santo,Arabica,3.1,2011
Espirito Santo,Arabica,2.7,2012
Espirito Santo,Robusta,11.8,2013
Espirito Santo,Robusta,12.3,2014
Espirito Santo,Robusta,8.2,2010
Espirito Santo,Robusta,8.4,2011
Espirito Santo,Robusta,10.8,2012
Sao Paulo,Arabica,5.4,2013
Sao Paulo,Arabica,4.7,2014
Sao Paulo,Arabica,4.2,2010
Sao Paulo,Arabica,5.0,2011
Sao Paulo,Arabica,4.1,2012
Parana,Arabica,1.8,2013
Parana,Arabica,1.9,2014
Parana,Arabica,1.9,2010
Parana,Arabica,2.4,2011
Parana,Arabica,1.9,2012
Minas Gerais,Arabica,32.5,2017
Minas Gerais,Arabica,29.1,2018
Minas Gerais,Arabica,29.4,2014
Minas Gerais,Arabica,26.0,2015
Minas Gerais,Arabica,25.3,2016
Espirito Santo,Arabica,3.8,2017
Espirito Santo,Arabica,3.2,2018
Espirito Santo,Arabica,3.5,2014
Espirito Santo,Arabica,3.3,2015
Espirito Santo,Arabica,3.1,2016
Espirito Santo,Robusta,6.7,2017
Espirito Santo,Robusta,7.2,2018
Espirito Santo,Robusta,12.3,2014
Espirito Santo,Robusta,13.1,2015
Espirito Santo,Robusta,9.9,2016
Sao Paulo,Arabica,5.9,2017
Sao Paulo,Arabica,4.4,2018
Sao Paulo,Arabica,4.6,2014
Sao Paulo,Arabica,4.6,2015
Sao Paulo,Arabica,4.3,2016
Parana,Arabica,1.1,2017
Parana,Arabica,1.3,2018
Parana,Arabica,1.7,2014
Parana,Arabica,1.0,2015
Parana,Arabica,1.2,2016
Minas Gerais,Arabica,28.3,2018
Minas Gerais,Arabica,34.2,2019
Minas Gerais,Arabica,29.1,2020
Minas Gerais,Arabica,34.8,2021
Minas Gerais,Arabica,24.5,2022
Minas Gerais,Arabica,28.5,2023
Espirito Santo,Arabica,3.3,2018
Espirito Santo,Arabica,4.7,2019
Espirito Santo,Arabica,3.9,2020
Espirito Santo,Arabica,4.8,2021
Espirito Santo,Arabica,3.7,2022
Espirito Santo,Arabica,4.4,2023
Espirito Santo,Robusta,7.3,2018
Espirito Santo,Robusta,10.9,2019
Espirito Santo,Robusta,12.9,2020
Espirito Santo,Robusta,14.3,2021
Espirito Santo,Robusta,15.7,2022
Espirito Santo,Robusta,16.6,2023
Sao Paulo,Arabica,4.3,2018
Sao Paulo,Arabica,6.5,2019
Sao Paulo,Arabica,5.4,2020
Sao Paulo,Arabica,6.4,2021
Sao Paulo,Arabica,4.6,2022
Sao Paulo,Arabica,5.1,2023
Parana,Arabica,1.3,2018
Parana,Arabica,1.2,2019
Parana,Arabica,1.1,2020
Parana,Arabica,1.1,2021
Parana,Arabica,1.0,2022
Parana,Arabica,0.8,2023
