"Data generated on Friday, April 14, 2023 at 1:51:01 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Feb 2023,,
Partner,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Average (Value),Reporter Code,Partner Code,Product Code,
"Brazil","","Coffee & Coffee Pdts","1,054,462","850,849","670,358","673,065","798,999","769,032","609,296","549,546","629,333","469,717","346,508","429,213","292,796","256,395","474,634","488,998","321,546","495,780","412,683","512,214","292,758","194,147","229,551","308,010","357,307","526,848","598,820","696,778","828,552","828,216","1,164,176","2,031,003","1,446,567","1,193,980","1,438,173","1,432,927","1,169,154","1,179,497","1,067,226","1,131,650","1,161,338","1,325,915","2,208,380","308,205","788,753","US","BR","0815AT",
"Brazil","0901110010","COFF AR N/RT/DEC","0","0","0","0","0","0","0","0","0","143,278","107,798","116,066","91,933","56,544","114,313","173,031","109,631","260,309","192,334","209,646","152,777","82,919","99,403","169,033","246,670","362,116","410,619","458,112","571,907","630,916","934,730","0","0","0","0","0","0","0","0","0","0","0","0","0","132,421","US","BR","0901110010",
"Brazil","0901110015","ORG COFF AR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56,222","16,067","8,343","26,893","14,459","12,301","10,970","7,386","15,218","12,577","16,753","11,836","2,339","4,861","US","BR","0901110015",
"Brazil","0901110025","COFF AR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,533,577","1,042,946","834,425","1,005,593","1,005,264","886,697","924,299","802,374","856,847","885,006","1,053,584","1,866,344","250,367","295,278","US","BR","0901110025",
"Brazil","0901110045","ORG COFFEE NR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,922","1,340","4,976","175","1,262","2,047","3,873","2,082","1,342","241","2,530","2,311","148","584","US","BR","0901110045",
"Brazil","0901110055","COFFEE NR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","272,400","181,367","159,350","232,180","245,106","117,011","70,089","95,038","100,401","91,246","88,500","79,971","9,449","40,294","US","BR","0901110055",
"Brazil","0901110090","COFFEE N/RST/DEC","0","0","0","0","0","0","0","0","0","241,847","177,144","279,917","159,324","153,101","303,114","237,812","135,715","189,772","174,413","253,996","94,544","70,818","93,911","86,169","66,235","100,112","115,748","151,224","146,151","95,811","129,166","0","0","0","0","0","0","0","0","0","0","0","0","0","80,373","US","BR","0901110090",
"Brazil","0901120000","COFFEE,DEC,N/RST","0","0","0","0","0","0","0","0","0","25,410","10,032","6,083","4,616","5,071","4,099","8,238","4,339","5,775","4,799","3,068","7,354","7,712","8,614","13,403","5,965","4,164","3,724","4,416","6,239","12,359","19,492","0","0","0","0","0","0","0","0","0","0","0","0","0","4,069","US","BR","0901120000",
"Brazil","0901120015","ORG COFF DEC NR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","0","0","0","86","124","397","19","296","896","668","878","43","80","US","BR","0901120015",
"Brazil","0901120025","COFF DEC NR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53,221","92,386","64,012","68,511","68,834","62,661","63,501","55,200","60,432","55,795","60,508","90,406","13,466","18,499","US","BR","0901120025",
