"Data generated on Friday, April 14, 2023 at 1:51:39 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Feb 2023,,
Partner,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Average (Value),Reporter Code,Partner Code,Product Code,
"Vietnam","","Coffee & Coffee Pdts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31,980","145,174","109,445","104,678","142,585","100,552","112,749","76,438","52,843","76,302","113,678","156,815","204,108","309,365","296,002","265,321","369,781","500,290","620,809","485,552","512,950","375,089","514,307","533,048","408,685","297,212","301,972","295,486","364,613","87,287","183,205","US","VM","0815AT",
"Vietnam","0901110010","COFF AR N/RT/DEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","141","4,590","3,432","1,952","3,069","2,829","1,823","3,181","3,475","4,249","5,258","6,054","11,924","79,145","48,923","48,301","77,151","0","0","0","0","0","0","0","0","0","0","0","0","0","7,105","US","VM","0901110010",
"Vietnam","0901110015","ORG COFF AR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,803","87","460","5,461","1,680","848","486","692","224","568","64","32","0","335","US","VM","0901110015",
"Vietnam","0901110025","COFF AR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108,731","159,590","98,250","93,369","91,429","133,835","133,639","95,504","56,128","70,406","54,191","103,034","22,760","27,863","US","VM","0901110025",
"Vietnam","0901110045","ORG COFFEE NR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,552","765","48","2","468","36","0","112","28","0","10","140","US","VM","0901110045",
"Vietnam","0901110055","COFFEE NR ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343,358","406,250","328,242","341,819","221,147","321,121","342,815","265,690","195,441","169,720","186,695","196,445","53,681","77,180","US","VM","0901110055",
"Vietnam","0901110090","COFFEE N/RST/DEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29,751","134,977","105,018","102,079","135,243","95,177","108,718","69,991","45,723","67,136","104,522","139,392","183,794","222,436","241,110","202,851","274,692","0","0","0","0","0","0","0","0","0","0","0","0","0","52,619","US","VM","0901110090",
"Vietnam","0901120000","COFFEE,DEC,N/RST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,088","5,532","983","185","3,917","2,259","1,398","2,151","2,538","2,726","1,603","2,740","4,419","3,660","1,487","5,869","8,286","0","0","0","0","0","0","0","0","0","0","0","0","0","1,206","US","VM","0901120000",
"Vietnam","0901120015","ORG COFF DEC NR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","12","56","1,577","259","319","0","190","74","0","0","0","0","62","US","VM","0901120015",
"Vietnam","0901120025","COFF DEC NR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31,432","35,000","36,310","50,753","42,405","38,592","38,814","30,263","25,392","34,468","22,014","23,785","3,572","9,517","US","VM","0901120025",
"Vietnam","0901210030","COFF RS N/DC <2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","48","102","181","178","297","876","1,277","1,721","816","1,642","865","2,446","1,550","0","0","0","0","0","0","0","0","0","0","0","0","0","280","US","VM","0901210030",
"Vietnam","0901210035","ORG COF RS ND<2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","2","0","3","0","0","0","0","0","9","0","1","US","VM","0901210035",
"Vietnam","0901210045","COFF RS ND<2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,360","5,037","4,822","4,764","5,118","4,487","3,867","3,798","4,192","4,046","4,276","5,720","585","1,244","US","VM","0901210045",
"Vietnam","0901210055","ORG COFF RST ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","65","0","15","5","0","3","US","VM","0901210055",
"Vietnam","0901210060","COFF RST N/DC NC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","45","13","12","464","64","217","576","305","470","568","400","22","195","495","0","0","0","0","0","0","0","0","0","0","0","0","0","90","US","VM","0901210060",
"Vietnam","0901210065","COFF RST ND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139","413","184","22","81","1,058","242","152","207","154","276","354","45","76","US","VM","0901210065",
"Vietnam","0901220030","COFF RS DEC <2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214","228","32","0","20","11","57","9","38","0","14","6","32","16","0","0","0","0","0","0","0","0","0","0","0","0","0","16","US","VM","0901220030",
"Vietnam","0901220045","COFF RS DEC<2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154","0","39","0","0","0","0","0","15","30","32","40","8","7","US","VM","0901220045",
"Vietnam","0901220060","COFF RST DEC NS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","14","0","13","0","84","269","61","114","367","193","406","1,024","3,491","2,677","6,334","200","87","11","94","0","0","0","80","0","6","0","363","US","VM","0901220060",
"Vietnam","0901400000","COFFEE SUBS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US","VM","0901400000",
"Vietnam","0901901000","COFFEE HUSK/SKNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","0","9","118","22","0","0","0","0","0","0","0","5","US","VM","0901901000",
"Vietnam","0901902000","COFF SUBS W/COFF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","76","0","4","24","3","4","16","6","13","21","0","5","5","4","0","14","11","19","16","42","6","0","7","US","VM","0901902000",
"Vietnam","2101112126","INST COF,N/FLV,R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","25","0","568","238","49","171","1,747","351","174","330","823","490","516","856","723","1,251","1,202","4,019","5,201","3,070","1,201","837","6,494","3,964","580","798","US","VM","2101112126",
"Vietnam","2101112129","INST COF,N/FLV,O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152","24","93","96","258","140","336","376","3,706","578","11","40","46","161","1,158","2,687","6,032","6,774","2,509","2,748","2,012","2,166","2,643","9,176","8,163","11,842","2,863","1,487","US","VM","2101112129",
"Vietnam","2101112131","INST DECAF COFFE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","368","46","0","0","50","31","42","16","37","0","22","0","0","6","0","0","0","36","0","15","US","VM","2101112131",
"Vietnam","2101112139","IN DECAF COF,OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0","2","0","0","0","24","62","0","0","0","0","0","0","0","0","3","0","0","0","3","US","VM","2101112139",
"Vietnam","2101112941","OTH COF EXTR RET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","11","0","156","2","64","0","49","71","77","61","31","284","1,902","1,835","2,542","1,153","1,062","419","28","769","286","245","US","VM","2101112941",
"Vietnam","2101112949","OTH COF EXTR OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","13","2","0","0","0","0","0","0","0","0","2","6","0","0","0","0","0","0","3","62","66","4","4","US","VM","2101112949",
"Vietnam","2101124800","COF EXT>65% OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221","0","0","0","12","8","9","4","0","0","6","US","VM","2101124800",
"Vietnam","2101125400","COF EXT>10%NT8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","43","0","10","0","0","26","89","87","425","857","318","293","569","948","481","350","554","1,083","1,259","3,606","4,918","3,851","6,243","0","605","US","VM","2101125400",
"Vietnam","2101125800","COF EXT>10%OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","19","14","27","238","1,148","1,527","2,325","2,758","2,940","3,978","3,693","4,445","4,571","5,326","4,661","1,773","2,524","5,754","6,798","8,995","11,403","2,663","1,743","US","VM","2101125800",
"Vietnam","2101129000","COF EXTRACT OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","3","0","8","21","0","9","46","15","52","280","114","208","735","1,477","108","92","2,160","1,182","208","257","853","229","182","US","VM","2101129000",
"Grand Total","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31,980","145,174","109,445","104,678","142,585","100,552","112,749","76,438","52,843","76,302","113,678","156,815","204,108","309,365","296,002","265,321","369,781","500,290","620,809","485,552","512,950","375,089","514,307","533,048","408,685","297,212","301,972","295,486","364,613","87,287","183,205",
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items.<br>
3. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General."
"4. Product Group : FAS"
