station,valid,tmpf,tmpc,relh,sknt,p01m
SBVT,2010-01-01 00:00,79.16,26.20,79.61,0.00,null
SBVT,2010-01-01 01:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-01 02:00,78.80,26.00,78.62,4.00,null
SBVT,2010-01-01 03:00,77.00,25.00,88.67,5.00,null
SBVT,2010-01-01 04:00,77.00,25.00,88.67,5.00,null
SBVT,2010-01-01 05:00,78.80,26.00,73.95,9.00,null
SBVT,2010-01-01 06:00,78.26,25.70,81.01,9.00,null
SBVT,2010-01-01 07:00,78.80,26.00,83.55,7.00,null
SBVT,2010-01-01 08:00,77.00,25.00,88.67,7.00,null
SBVT,2010-01-01 09:00,80.60,27.00,74.11,8.00,null
SBVT,2010-01-01 10:00,82.40,28.00,74.28,8.00,null
SBVT,2010-01-01 11:00,84.20,29.00,70.08,11.00,null
SBVT,2010-01-01 12:00,86.90,30.50,63.89,10.00,null
SBVT,2010-01-01 13:00,86.00,30.00,66.15,9.00,null
SBVT,2010-01-01 14:00,89.60,32.00,59.01,12.00,null
SBVT,2010-01-01 15:00,91.40,33.00,59.24,18.00,null
SBVT,2010-01-01 16:00,89.60,32.00,62.68,21.00,null
SBVT,2010-01-01 17:00,89.60,32.00,59.01,24.00,null
SBVT,2010-01-01 18:00,89.60,32.00,59.73,20.00,null
SBVT,2010-01-01 19:00,86.00,30.00,62.25,27.00,null
SBVT,2010-01-01 20:00,84.20,29.00,70.08,26.00,null
SBVT,2010-01-01 21:00,82.40,28.00,74.28,14.00,null
SBVT,2010-01-01 22:00,80.60,27.00,74.11,18.00,null
SBVT,2010-01-01 23:00,78.80,26.00,83.55,15.00,null
SBVT,2010-01-02 00:00,79.16,26.20,80.59,10.00,null
SBVT,2010-01-02 01:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-02 02:00,78.80,26.00,88.75,6.00,null
SBVT,2010-01-02 03:00,78.80,26.00,83.55,4.00,null
SBVT,2010-01-02 04:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-02 05:00,78.80,26.00,83.55,7.00,null
SBVT,2010-01-02 06:00,76.82,24.90,77.50,4.00,null
SBVT,2010-01-02 07:00,75.20,24.00,73.61,0.00,null
SBVT,2010-01-02 08:00,77.00,25.00,83.44,5.00,null
SBVT,2010-01-02 09:00,78.80,26.00,78.62,4.00,null
SBVT,2010-01-02 10:00,82.40,28.00,74.28,9.00,null
SBVT,2010-01-02 11:00,84.20,29.00,65.95,12.00,null
SBVT,2010-01-02 12:00,86.90,30.50,60.86,8.00,null
SBVT,2010-01-02 13:00,89.60,32.00,52.23,15.00,null
SBVT,2010-01-02 14:00,89.60,32.00,49.10,11.00,null
SBVT,2010-01-02 15:00,91.40,33.00,46.41,12.00,null
SBVT,2010-01-02 16:00,89.60,32.00,55.53,15.00,null
SBVT,2010-01-02 17:00,89.60,32.00,59.01,14.00,null
SBVT,2010-01-02 18:00,87.80,31.00,55.63,18.00,null
SBVT,2010-01-02 19:00,86.00,30.00,58.55,16.00,null
SBVT,2010-01-02 20:00,84.20,29.00,65.95,17.00,null
SBVT,2010-01-02 21:00,82.40,28.00,69.90,16.00,null
SBVT,2010-01-02 22:00,80.60,27.00,74.11,14.00,null
SBVT,2010-01-02 23:00,80.60,27.00,74.11,10.00,null
SBVT,2010-01-03 00:00,79.16,26.20,79.13,8.00,null
SBVT,2010-01-03 01:00,78.80,26.00,78.62,6.00,null
SBVT,2010-01-03 02:00,78.80,26.00,78.62,4.00,null
