station,valid,tmpc,relh,sknt,p01m
SBRP,2010-01-01 00:00,26.00,83.55,2.00,null
SBMT,2010-01-01 00:00,23.00,78.19,7.00,null
SBGR,2010-01-01 00:00,22.00,78.04,5.00,null
SBYS,2010-01-01 00:00,24.00,88.59,4.00,null
SBKP,2010-01-01 00:00,24.00,73.61,11.00,null
SBDN,2010-01-01 00:00,24.00,94.14,5.00,null
SBBU,2010-01-01 00:00,22.00,100.00,10.00,null
SBSP,2010-01-01 00:00,21.50,89.49,5.00,null
SBAQ,2010-01-01 00:00,24.00,78.34,4.00,null
SBBU,2010-01-01 01:00,23.00,94.10,13.00,null
SBKP,2010-01-01 01:00,23.00,78.19,11.00,null
SBRP,2010-01-01 01:00,25.00,88.67,5.00,null
SBDN,2010-01-01 01:00,24.00,94.14,6.00,null
SBGR,2010-01-01 01:00,21.00,82.98,7.00,null
SBAQ,2010-01-01 01:00,24.00,78.34,6.00,null
SBMT,2010-01-01 01:00,22.00,88.43,5.00,null
SBYS,2010-01-01 01:00,24.00,83.32,4.00,null
SBSP,2010-01-01 01:00,22.00,88.43,9.00,null
SBDN,2010-01-01 02:00,24.00,94.14,8.00,null
SBSP,2010-01-01 02:00,21.00,88.34,10.00,null
SBBU,2010-01-01 02:00,23.00,88.51,15.00,null
SBRP,2010-01-01 02:00,25.00,83.44,4.00,null
SBKP,2010-01-01 02:00,23.00,78.19,8.00,null
SBGR,2010-01-01 02:00,22.00,78.04,3.00,null
SBGR,2010-01-01 02:43,21.00,82.98,5.00,null
SBKP,2010-01-01 03:00,21.00,88.34,5.00,null
SBRP,2010-01-01 03:00,24.00,88.59,4.00,null
SBDN,2010-01-01 03:00,24.00,94.14,8.00,null
SBBU,2010-01-01 03:00,21.00,100.00,11.00,null
SBSP,2010-01-01 03:00,21.00,94.01,8.00,null
SBGR,2010-01-01 03:00,21.00,82.98,4.00,null
SBBU,2010-01-01 04:00,21.00,94.01,9.00,null
SBDN,2010-01-01 04:00,24.00,88.59,9.00,null
SBKP,2010-01-01 04:00,22.00,83.09,7.00,null
SBRP,2010-01-01 04:00,24.00,83.32,5.00,null
SBSP,2010-01-01 04:00,21.00,88.34,8.00,null
SBGR,2010-01-01 04:00,21.00,82.98,1.00,null
